"delay","stop.id","stop.sequence","route"
-271,"8703",32,"31201-20170214155712_v51.8"
-104,"8442",28,"26702-20170214155712_v51.8"
85,"4501",4,"98108-20170214155712_v51.8"
59,"7699",5,"30201-20170214155712_v51.8"
240,"8316",21,"24902-20170214155712_v51.8"
162,"8513",27,"27701-20170214155712_v51.8"
-274,"8501",40,"26701-20170214155712_v51.8"
11,"7160",3,"25802-20170214155712_v51.8"
-21,"5913",38,"04901-20170214155712_v51.8"
-417,"5079",29,"04902-20170214155712_v51.8"
-733,"5777",47,"13602-20170214155712_v51.8"
-196,"8664",32,"27702-20170214155712_v51.8"
-567,"7089",51,"24901-20170214155712_v51.8"
451,"8924",33,"23302-20170214155712_v51.8"
50,"7099",2,"23302-20170214155712_v51.8"
-22,"8516",15,"27702-20170214155712_v51.8"
-179,"8448",36,"29902-20170214155712_v51.8"
580,"8584",42,"25802-20170214155712_v51.8"
202,"3015",62,"83902-20170214155712_v51.8"
78,"3566",58,"87901-20170214155712_v51.8"
-268,"1099",65,"51502-20170214155712_v51.8"
-196,"8742",21,"31202-20170214155712_v51.8"
-44,"4779",32,"98301-20170214155712_v51.8"
640,"4632",33,"98206-20170214155712_v51.8"
-14,"1342",5,"79702-20170214155712_v51.8"
158,"7061",12,"79702-20170214155712_v51.8"
-441,"1072",19,"79702-20170214155712_v51.8"
-133,"8409",42,"72101-20170214155712_v51.8"
165,"1088",2,"72101-20170214155712_v51.8"
52,"8018",23,"72101-20170214155712_v51.8"
-377,"1094",69,"73102-20170214155712_v51.8"
151,"7023",3,"73102-20170214155712_v51.8"
-16,"8063",20,"73102-20170214155712_v51.8"
-28,"7105",31,"79902-20170214155712_v51.8"
182,"7217",13,"79801-20170214155712_v51.8"
-9,"7227",17,"79902-20170214155712_v51.8"
274,"7018",35,"79902-20170214155712_v51.8"
342,"7208",24,"79801-20170214155712_v51.8"
-90,"7704",25,"63502-20170214155712_v51.8"
8,"7818",49,"65502-20170214155712_v51.8"
57,"7547",8,"59501-20170214155712_v51.8"
36,"8089",8,"02001-20170214155712_v51.8"
270,"7981",24,"75602-20170214155712_v51.8"
120,"7554",21,"71901-20170214155712_v51.8"
40,"7851",30,"71902-20170214155712_v51.8"
-3,"7928",7,"75601-20170214155712_v51.8"
112,"7788",19,"60502-20170214155712_v51.8"
-236,"7818",57,"59502-20170214155712_v51.8"
1533,"7329",38,"76901-20170214155712_v51.8"
-43,"3153",14,"87501-20170214155712_v51.8"
-21,"3353",15,"85802-20170214155712_v51.8"
86,"3310",45,"85801-20170214155712_v51.8"
-17,"3140",37,"87902-20170214155712_v51.8"
69,"4778",2,"98105-20170214155712_v51.8"
-336,"5213",13,"17201-20170214155712_v51.8"
-49,"5906",36,"22302-20170214155712_v51.8"
146,"8118",13,"11502-20170214155712_v51.8"
-27,"5814",28,"15402-20170214155712_v51.8"
95,"5214",5,"17002-20170214155712_v51.8"
166,"5055",61,"15302-20170214155712_v51.8"
151,"4501",4,"98204-20170214155712_v51.8"
773,"8799",65,"00710-20170214155712_v51.8"
100,"7227",61,"51501-20170214155712_v51.8"
-663,"8422",18,"25502-20170214155712_v51.8"
130,"8011",74,"00709-20170214155712_v51.8"
41,"8151",3,"22301-20170214155712_v51.8"
346,"5801",43,"15401-20170214155712_v51.8"
-726,"8001",29,"03002-20170214155712_v51.8"
52,"7082",3,"02002-20170214155712_v51.8"
90,"8117",18,"03001-20170214155712_v51.8"
213,"8709",54,"72101-20170214155712_v51.8"
-221,"7185",68,"72101-20170214155712_v51.8"
-54,"8047",35,"73102-20170214155712_v51.8"
76,"1051",53,"73102-20170214155712_v51.8"
-380,"8101",75,"13601-20170214155712_v51.8"
90,"8866",17,"22102-20170214155712_v51.8"
-261,"4713",53,"98302-20170214155712_v51.8"
-398,"3410",36,"89101-20170214155712_v51.8"
-70,"7176",5,"30202-20170214155712_v51.8"
-239,"7052",3,"79801-20170214155712_v51.8"
156,"5843",24,"14902-20170214155712_v51.8"
-45,"7089",41,"22101-20170214155712_v51.8"
-612,"7071",38,"95501-20170214155712_v51.8"
70,"3388",8,"91506-20170214155712_v51.8"
-355,"4134",18,"97402-20170214155712_v51.8"
139,"4000",23,"95502-20170214155712_v51.8"
66,"7034",2,"95502-20170214155712_v51.8"
59,"3949",26,"97301-20170214155712_v51.8"
252,"6804",7,"36602-20170214155712_v51.8"
-196,"2769",31,"36502-20170214155712_v51.8"
-348,"6569",42,"03301-20170214155712_v51.8"
230,"6197",49,"36101-20170214155712_v51.8"
-127,"2416",31,"03302-20170214155712_v51.8"
101,"6778",31,"36202-20170214155712_v51.8"
-329,"6048",32,"36302-20170214155712_v51.8"
-3,"3812",25,"90504-20170214155712_v51.8"
126,"2523",3,"03301-20170214155712_v51.8"
-331,"6893",35,"36501-20170214155712_v51.8"
38,"1356",3,"03302-20170214155712_v51.8"
31,"2127",17,"36102-20170214155712_v51.8"
-35,"6875",21,"36101-20170214155712_v51.8"
-90,"2709",12,"37202-20170214155712_v51.8"
135,"4223",7,"10004-20170214155712_v51.8"
91,"5590",56,"09202-20170214155712_v51.8"
93,"4226",1,"10001-20170214155712_v51.8"
3000,"4214",1,"88001-20170214155712_v51.8"
-183,"3502",21,"81312-20170214155712_v51.8"
20,"3817",12,"94501-20170214155712_v51.8"
-2,"3048",26,"88601-20170214155712_v51.8"
227,"3051",27,"88706-20170214155712_v51.8"
-61,"7084",3,"08004-20170214155712_v51.8"
58,"3766",59,"88002-20170214155712_v51.8"
328,"2716",13,"37101-20170214155712_v51.8"
-135,"2049",15,"36601-20170214155712_v51.8"
37,"2632",9,"37702-20170214155712_v51.8"
231,"5640",1,"08001-20170214155712_v51.8"
-190,"4032",16,"92202-20170214155712_v51.8"
76,"3562",4,"80304-20170214155712_v51.8"
55,"4089",4,"92203-20170214155712_v51.8"
88,"7034",2,"10002-20170214155712_v51.8"
180,"3200",2,"88602-20170214155712_v51.8"
-440,"7035",8,"10003-20170214155712_v51.8"
-71,"5914",58,"19502-20170214155712_v51.8"
67,"7615",42,"55001-20170214155712_v51.8"
-100,"6163",39,"55206-20170214155712_v51.8"
102,"8661",40,"55211-20170214155712_v51.8"
-104,"1028",6,"50002-20170214155712_v51.8"
101,"2335",3,"35301-20170214155712_v51.8"
-108,"2018",59,"50002-20170214155712_v51.8"
-37,"7506",22,"55006-20170214155712_v51.8"
-321,"7227",63,"50001-20170214155712_v51.8"
-325,"6563",18,"35302-20170214155712_v51.8"
51,"6288",58,"55006-20170214155712_v51.8"
372,"6136",40,"50002-20170214155712_v51.8"
146,"6129",30,"50001-20170214155712_v51.8"
67,"6463",11,"55001-20170214155712_v51.8"
726,"7062",4,"30004-20170214155712_v51.8"
-240,"6687",44,"38011-20170214155712_v51.8"
-178,"6482",33,"38012-20170214155712_v51.8"
-177,"2196",17,"38011-20170214155712_v51.8"
-91,"6955",11,"38012-20170214155712_v51.8"
-124,"7803",5,"03202-20170214155712_v51.8"
-106,"2268",48,"31301-20170214155712_v51.8"
26,"6929",4,"31302-20170214155712_v51.8"
38,"6443",8,"03101-20170214155712_v51.8"
-206,"6651",33,"31302-20170214155712_v51.8"
300,"6011",20,"03102-20170214155712_v51.8"
136,"6650",19,"31301-20170214155712_v51.8"
-9,"6635",8,"03201-20170214155712_v51.8"
275,"8761",36,"30901-20170214155712_v51.8"
87,"6955",57,"32502-20170214155712_v51.8"
394,"6381",52,"32501-20170214155712_v51.8"
-101,"6401",32,"32502-20170214155712_v51.8"
20,"6598",6,"30901-20170214155712_v51.8"
-163,"6611",46,"30902-20170214155712_v51.8"
49,"6779",36,"03101-20170214155712_v51.8"
-107,"8704",10,"30902-20170214155712_v51.8"
107,"6386",25,"32501-20170214155712_v51.8"
