"delay","stop.id","stop.sequence","route"
150,"5050",28,"15401-20170214155712_v51.8"
97,"3093",6,"83401-20170214155712_v51.8"
50,"4810",13,"98105-20170214155712_v51.8"
58,"6838",5,"36201-20170214155712_v51.8"
-186,"2745",11,"37301-20170214155712_v51.8"
183,"2635",14,"03301-20170214155712_v51.8"
-144,"3360",4,"10001-20170214155712_v51.8"
-151,"2206",20,"38011-20170214155712_v51.8"
-46,"2419",38,"38011-20170214155712_v51.8"
-513,"6906",42,"38012-20170214155712_v51.8"
156,"1423",12,"00301-20170214155712_v51.8"
