"delay","stop.id","stop.sequence","route"
435,"5301",27,"14901-20170214155712_v51.8"
-75,"1626",2,"13902-20170214155712_v51.8"
269,"5063",28,"15012-20170214155712_v51.8"
1102,"3563",32,"89104-20170214155712_v51.8"
185,"7148",4,"27402-20170214155712_v51.8"
-33,"8473",26,"31202-20170214155712_v51.8"
733,"7064",2,"30202-20170214155712_v51.8"
329,"8177",30,"39002-20170214155712_v51.8"
152,"7147",35,"52501-20170214155712_v51.8"
576,"7145",40,"32201-20170214155712_v51.8"
612,"7146",5,"22102-20170214155712_v51.8"
906,"7825",43,"71902-20170214155712_v51.8"
-268,"7309",47,"76701-20170214155712_v51.8"
35,"7183",44,"65501-20170214155712_v51.8"
27,"7348",3,"76901-20170214155712_v51.8"
954,"7134",5,"03006-20170214155712_v51.8"
173,"8739",53,"01002-20170214155712_v51.8"
277,"8716",14,"30202-20170214155712_v51.8"
1093,"8202",10,"24802-20170214155712_v51.8"
278,"8698",34,"29902-20170214155712_v51.8"
80,"7215",9,"01002-20170214155712_v51.8"
289,"7489",22,"59501-20170214155712_v51.8"
287,"7087",29,"03001-20170214155712_v51.8"
548,"7210",11,"52504-20170214155712_v51.8"
-11,"7216",16,"02001-20170214155712_v51.8"
1400,"7022",3,"24804-20170214155712_v51.8"
136,"7055",45,"39001-20170214155712_v51.8"
672,"8928",19,"24804-20170214155712_v51.8"
1188,"8518",16,"27402-20170214155712_v51.8"
-463,"7141",38,"27701-20170214155712_v51.8"
658,"8636",18,"29902-20170214155712_v51.8"
-41,"8581",42,"39002-20170214155712_v51.8"
439,"8420",17,"26702-20170214155712_v51.8"
393,"8408",8,"26704-20170214155712_v51.8"
-62,"8416",15,"25502-20170214155712_v51.8"
718,"7148",4,"27402-20170214155712_v51.8"
526,"7148",4,"27402-20170214155712_v51.8"
-12,"7024",23,"27401-20170214155712_v51.8"
408,"8653",18,"29901-20170214155712_v51.8"
-169,"7003",50,"76701-20170214155712_v51.8"
834,"7214",5,"02004-20170214155712_v51.8"
364,"7811",69,"71902-20170214155712_v51.8"
75,"7059",26,"02001-20170214155712_v51.8"
606,"8589",20,"31006-20170214155712_v51.8"
296,"8604",8,"29902-20170214155712_v51.8"
63,"8428",21,"25502-20170214155712_v51.8"
160,"8708",11,"31202-20170214155712_v51.8"
134,"8584",38,"24804-20170214155712_v51.8"
674,"7151",41,"31201-20170214155712_v51.8"
116,"8404",9,"26702-20170214155712_v51.8"
-27,"8426",20,"25802-20170214155712_v51.8"
-569,"7151",18,"27401-20170214155712_v51.8"
1932,"8068",45,"00706-20170214155712_v51.8"
494,"8433",19,"25801-20170214155712_v51.8"
240,"8428",21,"25502-20170214155712_v51.8"
1531,"8674",39,"29902-20170214155712_v51.8"
1,"4745",23,"98204-20170214155712_v51.8"
507,"3355",8,"76004-20170214155712_v51.8"
47,"3048",50,"87902-20170214155712_v51.8"
-77,"4711",54,"98302-20170214155712_v51.8"
4,"3282",18,"83902-20170214155712_v51.8"
374,"8051",48,"00705-20170214155712_v51.8"
427,"8907",37,"25802-20170214155712_v51.8"
121,"7401",29,"62501-20170214155712_v51.8"
-75,"8093",35,"52006-20170214155712_v51.8"
154,"7757",27,"77001-20170214155712_v51.8"
263,"7630",32,"32102-20170214155712_v51.8"
136,"8824",34,"01002-20170214155712_v51.8"
115,"7140",2,"27702-20170214155712_v51.8"
308,"7895",10,"71902-20170214155712_v51.8"
-8,"3568",25,"81301-20170214155712_v51.8"
-675,"5086",6,"04012-20170214155712_v51.8"
1094,"8314",20,"24304-20170214155712_v51.8"
-249,"7139",25,"26700-20170214155712_v51.8"
175,"7612",15,"39002-20170214155712_v51.8"
166,"7064",2,"30202-20170214155712_v51.8"
-144,"8713",14,"30201-20170214155712_v51.8"
351,"8034",21,"00706-20170214155712_v51.8"
164,"7128",2,"25502-20170214155712_v51.8"
372,"4225",16,"88104-20170214155712_v51.8"
290,"7036",6,"87304-20170214155712_v51.8"
12,"7099",2,"24802-20170214155712_v51.8"
-325,"3245",22,"86304-20170214155712_v51.8"
-540,"4739",32,"99204-20170214155712_v51.8"
646,"3136",23,"85004-20170214155712_v51.8"
-178,"8134",20,"13412-20170214155712_v51.8"
954,"8536",26,"22104-20170214155712_v51.8"
1458,"3039",20,"76004-20170214155712_v51.8"
517,"8914",33,"25802-20170214155712_v51.8"
-50,"5203",15,"17201-20170214155712_v51.8"
719,"7055",45,"29901-20170214155712_v51.8"
56,"1354",29,"32202-20170214155712_v51.8"
1102,"7612",18,"51502-20170214155712_v51.8"
448,"8479",23,"30202-20170214155712_v51.8"
1444,"8042",31,"00706-20170214155712_v51.8"
-27,"7084",3,"04902-20170214155712_v51.8"
-552,"5158",26,"17004-20170214155712_v51.8"
320,"8536",33,"22102-20170214155712_v51.8"
112,"5698",38,"08502-20170214155712_v51.8"
348,"8120",14,"09702-20170214155712_v51.8"
-113,"5111",30,"07902-20170214155712_v51.8"
627,"8230",16,"22104-20170214155712_v51.8"
419,"8146",26,"22304-20170214155712_v51.8"
645,"4467",20,"85802-20170214155712_v51.8"
-545,"8451",36,"27702-20170214155712_v51.8"
-52,"7139",40,"26704-20170214155712_v51.8"
324,"7435",27,"00705-20170214155712_v51.8"
89,"7089",51,"24901-20170214155712_v51.8"
197,"8441",17,"26701-20170214155712_v51.8"
363,"7166",8,"24802-20170214155712_v51.8"
266,"8501",38,"25801-20170214155712_v51.8"
-474,"8528",20,"27402-20170214155712_v51.8"
-185,"8532",22,"27702-20170214155712_v51.8"
661,"5914",59,"19512-20170214155712_v51.8"
-182,"7089",46,"22401-20170214155712_v51.8"
-32,"7084",3,"13412-20170214155712_v51.8"
414,"8130",19,"19512-20170214155712_v51.8"
75,"7136",4,"15302-20170214155712_v51.8"
-32,"5292",13,"15602-20170214155712_v51.8"
545,"8142",24,"15402-20170214155712_v51.8"
438,"8218",10,"22304-20170214155712_v51.8"
-621,"7133",70,"13501-20170214155712_v51.8"
739,"8242",29,"22302-20170214155712_v51.8"
186,"8907",34,"25804-20170214155712_v51.8"
353,"7168",4,"25502-20170214155712_v51.8"
511,"7014",4,"24602-20170214155712_v51.8"
268,"8035",47,"00701-20170214155712_v51.8"
198,"8703",32,"31201-20170214155712_v51.8"
241,"8924",32,"23304-20170214155712_v51.8"
683,"8353",51,"24902-20170214155712_v51.8"
-220,"7139",43,"26702-20170214155712_v51.8"
13,"8379",16,"31006-20170214155712_v51.8"
82,"8459",2,"23301-20170214155712_v51.8"
179,"7058",45,"26701-20170214155712_v51.8"
732,"8418",13,"25804-20170214155712_v51.8"
724,"8202",10,"24302-20170214155712_v51.8"
937,"8418",16,"25802-20170214155712_v51.8"
-476,"8001",80,"00705-20170214155712_v51.8"
376,"7148",4,"27702-20170214155712_v51.8"
-100,"5908",42,"24304-20170214155712_v51.8"
32,"7022",3,"24302-20170214155712_v51.8"
205,"7014",4,"24902-20170214155712_v51.8"
217,"8674",34,"26702-20170214155712_v51.8"
1135,"8318",22,"24602-20170214155712_v51.8"
121,"8389",32,"31202-20170214155712_v51.8"
-70,"8955",14,"27701-20170214155712_v51.8"
1032,"8312",19,"24902-20170214155712_v51.8"
-317,"8532",22,"27402-20170214155712_v51.8"
816,"3170",13,"76004-20170214155712_v51.8"
362,"4407",12,"87004-20170214155712_v51.8"
781,"3158",16,"86004-20170214155712_v51.8"
9,"4227",1,"89101-20170214155712_v51.8"
60,"3216",19,"87404-20170214155712_v51.8"
-239,"3592",30,"89104-20170214155712_v51.8"
115,"3148",18,"85004-20170214155712_v51.8"
595,"3221",9,"86004-20170214155712_v51.8"
23,"7038",1,"86004-20170214155712_v51.8"
1168,"8833",19,"01001-20170214155712_v51.8"
2119,"7430",54,"00702-20170214155712_v51.8"
-173,"7227",54,"59501-20170214155712_v51.8"
571,"7162",7,"23302-20170214155712_v51.8"
634,"7141",53,"53205-20170214155712_v51.8"
251,"7150",4,"51502-20170214155712_v51.8"
709,"8042",31,"00702-20170214155712_v51.8"
129,"7151",27,"30201-20170214155712_v51.8"
134,"8499",24,"25502-20170214155712_v51.8"
1020,"8068",45,"00702-20170214155712_v51.8"
963,"7261",11,"02002-20170214155712_v51.8"
