"delay","stop.id","stop.sequence","route"
-168,"8584",42,"25802-20170214155712_v51.8"
51,"8274",24,"24901-20170214155712_v51.8"
-572,"8432",23,"25502-20170214155712_v51.8"
-95,"8713",28,"31201-20170214155712_v51.8"
-279,"4715",52,"98302-20170214155712_v51.8"
178,"3394",11,"89102-20170214155712_v51.8"
18,"7055",1,"29902-20170214155712_v51.8"
457,"8429",23,"26701-20170214155712_v51.8"
-76,"8722",16,"31202-20170214155712_v51.8"
357,"7201",58,"51501-20170214155712_v51.8"
-696,"4639",30,"98801-20170214155712_v51.8"
24,"8355",1,"25801-20170214155712_v51.8"
183,"8019",66,"00709-20170214155712_v51.8"
-92,"8240",28,"22302-20170214155712_v51.8"
55,"8266",27,"24902-20170214155712_v51.8"
30,"7128",2,"26702-20170214155712_v51.8"
-448,"7285",26,"25502-20170214155712_v51.8"
-738,"7141",38,"27701-20170214155712_v51.8"
777,"7160",3,"26702-20170214155712_v51.8"
258,"7168",6,"27402-20170214155712_v51.8"
127,"1642",2,"17002-20170214155712_v51.8"
-223,"8225",32,"22401-20170214155712_v51.8"
-236,"5299",33,"14901-20170214155712_v51.8"
-364,"8940",30,"27702-20170214155712_v51.8"
-325,"8297",37,"24302-20170214155712_v51.8"
663,"8367",56,"24902-20170214155712_v51.8"
-62,"8521",7,"27401-20170214155712_v51.8"
25,"7086",52,"24901-20170214155712_v51.8"
401,"8928",34,"23302-20170214155712_v51.8"
26,"8696",33,"29902-20170214155712_v51.8"
27,"7026",1,"27702-20170214155712_v51.8"
128,"7164",3,"30202-20170214155712_v51.8"
-15,"8402",8,"25802-20170214155712_v51.8"
80,"8887",3,"27701-20170214155712_v51.8"
296,"3216",26,"87902-20170214155712_v51.8"
85,"3090",6,"87501-20170214155712_v51.8"
20,"7080",2,"02002-20170214155712_v51.8"
35,"3318",42,"85801-20170214155712_v51.8"
187,"7036",6,"87502-20170214155712_v51.8"
55,"7061",12,"79702-20170214155712_v51.8"
31,"7053",14,"79702-20170214155712_v51.8"
118,"7004",4,"79702-20170214155712_v51.8"
-307,"7131",11,"79702-20170214155712_v51.8"
-103,"1325",17,"79702-20170214155712_v51.8"
-36,"7028",46,"65501-20170214155712_v51.8"
198,"8492",1,"02001-20170214155712_v51.8"
90,"7185",68,"72101-20170214155712_v51.8"
1386,"7122",12,"72101-20170214155712_v51.8"
300,"8514",48,"72101-20170214155712_v51.8"
-16,"8708",17,"73102-20170214155712_v51.8"
44,"8416",32,"73102-20170214155712_v51.8"
375,"8033",44,"73102-20170214155712_v51.8"
275,"7231",16,"79902-20170214155712_v51.8"
266,"7212",21,"79902-20170214155712_v51.8"
91,"7228",20,"79801-20170214155712_v51.8"
68,"7197",27,"79801-20170214155712_v51.8"
411,"7194",8,"79902-20170214155712_v51.8"
-114,"7105",31,"79902-20170214155712_v51.8"
198,"7100",4,"79801-20170214155712_v51.8"
708,"7195",28,"79801-20170214155712_v51.8"
161,"7401",33,"63501-20170214155712_v51.8"
112,"7412",18,"63502-20170214155712_v51.8"
1100,"7821",39,"62502-20170214155712_v51.8"
53,"8491",28,"02002-20170214155712_v51.8"
211,"7869",23,"71902-20170214155712_v51.8"
-313,"7560",55,"59502-20170214155712_v51.8"
138,"8123",15,"03001-20170214155712_v51.8"
55,"7554",21,"71901-20170214155712_v51.8"
88,"7473",30,"59501-20170214155712_v51.8"
119,"7977",26,"75602-20170214155712_v51.8"
172,"7386",22,"76901-20170214155712_v51.8"
-163,"7901",61,"51502-20170214155712_v51.8"
-191,"7758",27,"60502-20170214155712_v51.8"
888,"7003",58,"75601-20170214155712_v51.8"
-25,"7686",6,"75601-20170214155712_v51.8"
-100,"5810",43,"08702-20170214155712_v51.8"
373,"3038",53,"83902-20170214155712_v51.8"
-37,"4501",4,"98108-20170214155712_v51.8"
339,"3362",29,"89101-20170214155712_v51.8"
-185,"3353",15,"85802-20170214155712_v51.8"
73,"4501",4,"98302-20170214155712_v51.8"
28,"4111",61,"87901-20170214155712_v51.8"
27,"4791",1,"98105-20170214155712_v51.8"
-562,"7038",69,"83901-20170214155712_v51.8"
99,"4502",3,"98204-20170214155712_v51.8"
39,"7099",2,"22102-20170214155712_v51.8"
-237,"5217",11,"17201-20170214155712_v51.8"
-508,"7086",50,"22201-20170214155712_v51.8"
105,"8112",11,"11502-20170214155712_v51.8"
171,"7146",5,"22302-20170214155712_v51.8"
408,"5975",70,"13502-20170214155712_v51.8"
359,"8130",20,"04902-20170214155712_v51.8"
-1800,"8234",25,"22102-20170214155712_v51.8"
-263,"5841",52,"22402-20170214155712_v51.8"
151,"5032",20,"15301-20170214155712_v51.8"
198,"8140",23,"15402-20170214155712_v51.8"
239,"4647",23,"98301-20170214155712_v51.8"
108,"8516",15,"27402-20170214155712_v51.8"
319,"7166",8,"23302-20170214155712_v51.8"
366,"8309",24,"23301-20170214155712_v51.8"
709,"7438",57,"00710-20170214155712_v51.8"
-387,"7133",76,"13601-20170214155712_v51.8"
-24,"5876",39,"13502-20170214155712_v51.8"
105,"5083",31,"04901-20170214155712_v51.8"
23,"5249",36,"11301-20170214155712_v51.8"
-52,"7612",18,"51502-20170214155712_v51.8"
1058,"8417",27,"25801-20170214155712_v51.8"
122,"8120",14,"03002-20170214155712_v51.8"
61,"1088",2,"72101-20170214155712_v51.8"
1768,"7185",68,"72101-20170214155712_v51.8"
739,"8495",56,"73102-20170214155712_v51.8"
12,"1096",4,"73102-20170214155712_v51.8"
226,"5033",54,"15302-20170214155712_v51.8"
-275,"7055",31,"30201-20170214155712_v51.8"
-226,"7054",8,"79702-20170214155712_v51.8"
-33,"7186",4,"79902-20170214155712_v51.8"
62,"7213",15,"79801-20170214155712_v51.8"
-682,"7018",35,"79902-20170214155712_v51.8"
28,"8143",50,"15401-20170214155712_v51.8"
307,"5295",20,"14902-20170214155712_v51.8"
50,"7594",44,"65502-20170214155712_v51.8"
-45,"4086",4,"97402-20170214155712_v51.8"
180,"4136",2,"97301-20170214155712_v51.8"
100,"4142",5,"97501-20170214155712_v51.8"
1,"3757",5,"95501-20170214155712_v51.8"
59,"7034",2,"95502-20170214155712_v51.8"
118,"4020",15,"95504-20170214155712_v51.8"
154,"3875",28,"95704-20170214155712_v51.8"
25,"3386",7,"91506-20170214155712_v51.8"
-482,"3959",33,"95501-20170214155712_v51.8"
472,"4027",17,"97401-20170214155712_v51.8"
-417,"7035",34,"97301-20170214155712_v51.8"
-29,"6778",31,"36202-20170214155712_v51.8"
146,"6802",8,"36602-20170214155712_v51.8"
-117,"2070",11,"36601-20170214155712_v51.8"
246,"2598",5,"37202-20170214155712_v51.8"
104,"6017",34,"03301-20170214155712_v51.8"
-295,"2156",44,"36102-20170214155712_v51.8"
545,"2628",16,"37301-20170214155712_v51.8"
-65,"6845",25,"36302-20170214155712_v51.8"
-7,"6816",29,"36501-20170214155712_v51.8"
7,"6881",18,"36101-20170214155712_v51.8"
304,"4225",44,"88705-20170214155712_v51.8"
429,"4229",8,"10004-20170214155712_v51.8"
163,"4223",7,"10002-20170214155712_v51.8"
108,"2553",2,"03301-20170214155712_v51.8"
61,"5874",10,"13006-20170214155712_v51.8"
579,"2127",18,"03302-20170214155712_v51.8"
105,"6025",41,"36101-20170214155712_v51.8"
84,"6191",6,"36102-20170214155712_v51.8"
117,"2623",11,"37702-20170214155712_v51.8"
1796,"2500",15,"37602-20170214155712_v51.8"
107,"5911",2,"08001-20170214155712_v51.8"
126,"3933",7,"94501-20170214155712_v51.8"
-95,"3939",14,"92202-20170214155712_v51.8"
9,"4214",63,"88001-20170214155712_v51.8"
-246,"3502",21,"81312-20170214155712_v51.8"
420,"3361",31,"90503-20170214155712_v51.8"
195,"3051",27,"88706-20170214155712_v51.8"
97,"3221",6,"10004-20170214155712_v51.8"
22,"3196",4,"88602-20170214155712_v51.8"
-60,"3383",24,"81311-20170214155712_v51.8"
-370,"6632",29,"36502-20170214155712_v51.8"
203,"5633",55,"08004-20170214155712_v51.8"
-60,"5092",72,"09201-20170214155712_v51.8"
-820,"4226",2,"10003-20170214155712_v51.8"
-160,"3814",26,"90504-20170214155712_v51.8"
27,"3416",3,"80304-20170214155712_v51.8"
78,"4448",3,"92203-20170214155712_v51.8"
-109,"7034",2,"10002-20170214155712_v51.8"
520,"3034",11,"88601-20170214155712_v51.8"
1569,"3607",60,"88002-20170214155712_v51.8"
504,"3173",37,"88002-20170214155712_v51.8"
91,"5730",2,"06004-20170214155712_v51.8"
203,"5667",22,"09203-20170214155712_v51.8"
454,"5357",27,"09202-20170214155712_v51.8"
729,"8942",34,"00905-20170214155712_v51.8"
476,"5906",56,"00803-20170214155712_v51.8"
377,"5161",54,"19502-20170214155712_v51.8"
60,"7641",4,"00803-20170214155712_v51.8"
-443,"7087",59,"19501-20170214155712_v51.8"
343,"8828",20,"00802-20170214155712_v51.8"
77,"5916",3,"18601-20170214155712_v51.8"
9,"1761",43,"55211-20170214155712_v51.8"
-161,"7156",5,"50002-20170214155712_v51.8"
87,"6298",11,"55211-20170214155712_v51.8"
-315,"6327",17,"35302-20170214155712_v51.8"
-522,"7201",60,"50001-20170214155712_v51.8"
52,"2335",3,"35301-20170214155712_v51.8"
204,"6153",38,"55206-20170214155712_v51.8"
-167,"6057",33,"50001-20170214155712_v51.8"
69,"6056",37,"50002-20170214155712_v51.8"
730,"6233",45,"50002-20170214155712_v51.8"
-22,"2117",25,"56501-20170214155712_v51.8"
188,"6227",13,"58001-20170214155712_v51.8"
36,"6267",10,"55001-20170214155712_v51.8"
-78,"7501",41,"55001-20170214155712_v51.8"
118,"6082",48,"55006-20170214155712_v51.8"
183,"7612",17,"55006-20170214155712_v51.8"
-557,"2010",13,"30002-20170214155712_v51.8"
-126,"8516",9,"30002-20170214155712_v51.8"
-98,"7047",8,"30005-20170214155712_v51.8"
-38,"6464",30,"38012-20170214155712_v51.8"
-66,"6525",12,"38011-20170214155712_v51.8"
18,"8589",47,"38011-20170214155712_v51.8"
-108,"6953",10,"38012-20170214155712_v51.8"
186,"2002",22,"38011-20170214155712_v51.8"
808,"6920",45,"38012-20170214155712_v51.8"
171,"7239",1,"03202-20170214155712_v51.8"
-316,"6955",35,"03102-20170214155712_v51.8"
104,"6904",2,"31302-20170214155712_v51.8"
482,"6191",18,"03102-20170214155712_v51.8"
21,"1039",28,"30902-20170214155712_v51.8"
78,"2446",16,"31402-20170214155712_v51.8"
-787,"6596",56,"30902-20170214155712_v51.8"
-242,"8591",53,"31302-20170214155712_v51.8"
-75,"6955",20,"31301-20170214155712_v51.8"
-498,"7055",60,"30901-20170214155712_v51.8"
153,"6651",2,"03201-20170214155712_v51.8"
717,"2442",22,"32412-20170214155712_v51.8"
215,"7164",3,"30902-20170214155712_v51.8"
-621,"2197",39,"31302-20170214155712_v51.8"
3000,"6955",57,"32502-20170214155712_v51.8"
470,"6480",38,"31301-20170214155712_v51.8"
277,"6955",27,"03202-20170214155712_v51.8"
732,"6316",42,"32501-20170214155712_v51.8"
-13,"6779",36,"03101-20170214155712_v51.8"
282,"6374",26,"32502-20170214155712_v51.8"
-59,"8757",38,"30901-20170214155712_v51.8"
55,"6593",4,"30901-20170214155712_v51.8"
130,"6447",6,"03101-20170214155712_v51.8"
61,"6386",25,"32501-20170214155712_v51.8"
99,"1142",7,"00104-20170214155712_v51.8"
363,"1149",4,"00202-20170214155712_v51.8"
59,"1103",4,"00103-20170214155712_v51.8"
47,"1116",2,"00201-20170214155712_v51.8"
