"delay","stop.id","stop.sequence","route"
220,"5843",24,"14902-20170214155712_v51.8"
240,"7146",5,"22302-20170214155712_v51.8"
-126,"1626",2,"13902-20170214155712_v51.8"
1446,"7141",9,"89104-20170214155712_v51.8"
54,"7180",6,"30202-20170214155712_v51.8"
345,"7089",44,"26701-20170214155712_v51.8"
-148,"8299",35,"24304-20170214155712_v51.8"
-775,"7055",31,"30201-20170214155712_v51.8"
216,"8729",7,"30201-20170214155712_v51.8"
81,"5837",34,"14501-20170214155712_v51.8"
229,"1356",3,"32201-20170214155712_v51.8"
-90,"5203",15,"17201-20170214155712_v51.8"
-302,"7678",23,"70302-20170214155712_v51.8"
1296,"8050",35,"00706-20170214155712_v51.8"
-713,"7003",38,"74501-20170214155712_v51.8"
626,"7945",41,"75602-20170214155712_v51.8"
-53,"7215",9,"01002-20170214155712_v51.8"
183,"8201",47,"24901-20170214155712_v51.8"
140,"8596",25,"25502-20170214155712_v51.8"
-48,"7055",45,"31201-20170214155712_v51.8"
154,"7164",3,"29902-20170214155712_v51.8"
319,"7201",51,"59501-20170214155712_v51.8"
120,"7084",4,"02002-20170214155712_v51.8"
19,"7015",1,"02004-20170214155712_v51.8"
634,"8404",9,"25502-20170214155712_v51.8"
65,"8162",6,"39001-20170214155712_v51.8"
57,"7058",43,"25801-20170214155712_v51.8"
-275,"8938",31,"27702-20170214155712_v51.8"
45,"7175",39,"29901-20170214155712_v51.8"
95,"8202",10,"24602-20170214155712_v51.8"
721,"8632",16,"29902-20170214155712_v51.8"
287,"8450",15,"26700-20170214155712_v51.8"
-499,"8676",40,"29902-20170214155712_v51.8"
-73,"8512",13,"27402-20170214155712_v51.8"
110,"8404",9,"26702-20170214155712_v51.8"
315,"7168",4,"26702-20170214155712_v51.8"
-361,"8092",14,"02004-20170214155712_v51.8"
308,"7892",9,"71902-20170214155712_v51.8"
43,"1056",20,"00502-20170214155712_v51.8"
670,"8202",10,"24802-20170214155712_v51.8"
22,"1053",1,"24304-20170214155712_v51.8"
-4,"8420",14,"25504-20170214155712_v51.8"
258,"8433",21,"26701-20170214155712_v51.8"
274,"7203",36,"39001-20170214155712_v51.8"
575,"5748",5,"15012-20170214155712_v51.8"
146,"7099",2,"24804-20170214155712_v51.8"
13,"8581",1,"31201-20170214155712_v51.8"
238,"8500",5,"25502-20170214155712_v51.8"
-704,"8530",21,"27402-20170214155712_v51.8"
27,"7026",1,"27402-20170214155712_v51.8"
727,"8057",12,"00706-20170214155712_v51.8"
-48,"8051",48,"00705-20170214155712_v51.8"
-400,"8528",20,"27402-20170214155712_v51.8"
220,"7036",6,"87902-20170214155712_v51.8"
69,"4699",45,"98301-20170214155712_v51.8"
338,"7612",15,"39002-20170214155712_v51.8"
601,"7412",16,"62502-20170214155712_v51.8"
75,"7202",1,"77002-20170214155712_v51.8"
201,"7222",49,"01001-20170214155712_v51.8"
377,"7168",6,"27402-20170214155712_v51.8"
382,"7336",19,"76902-20170214155712_v51.8"
58,"3568",25,"81301-20170214155712_v51.8"
-25,"5357",54,"04902-20170214155712_v51.8"
-61,"7053",27,"02001-20170214155712_v51.8"
121,"7128",2,"25502-20170214155712_v51.8"
364,"7180",6,"31202-20170214155712_v51.8"
-422,"8035",47,"00701-20170214155712_v51.8"
249,"7146",3,"27402-20170214155712_v51.8"
211,"7177",3,"88104-20170214155712_v51.8"
369,"3201",28,"87501-20170214155712_v51.8"
-28,"8453",4,"23301-20170214155712_v51.8"
30,"7318",10,"76702-20170214155712_v51.8"
-33,"3216",26,"87902-20170214155712_v51.8"
224,"7036",5,"99204-20170214155712_v51.8"
74,"5095",36,"04901-20170214155712_v51.8"
21,"1324",1,"22104-20170214155712_v51.8"
101,"7036",6,"86304-20170214155712_v51.8"
303,"5308",29,"14901-20170214155712_v51.8"
141,"8449",6,"29901-20170214155712_v51.8"
45,"8608",15,"32102-20170214155712_v51.8"
-181,"7141",48,"32101-20170214155712_v51.8"
1345,"7201",42,"50501-20170214155712_v51.8"
290,"5954",31,"08701-20170214155712_v51.8"
361,"8200",9,"22302-20170214155712_v51.8"
65,"8134",20,"11502-20170214155712_v51.8"
30,"8128",19,"04902-20170214155712_v51.8"
714,"7014",4,"22302-20170214155712_v51.8"
-127,"5089",45,"12102-20170214155712_v51.8"
92,"5454",8,"15304-20170214155712_v51.8"
-25,"7084",3,"08502-20170214155712_v51.8"
282,"8137",53,"15401-20170214155712_v51.8"
-80,"1334",5,"87304-20170214155712_v51.8"
292,"8739",24,"30202-20170214155712_v51.8"
396,"7166",8,"24302-20170214155712_v51.8"
-430,"8526",19,"27702-20170214155712_v51.8"
-531,"7141",38,"27701-20170214155712_v51.8"
18,"1053",1,"24602-20170214155712_v51.8"
-315,"1097",25,"00701-20170214155712_v51.8"
-553,"1047",77,"00706-20170214155712_v51.8"
686,"8204",11,"24304-20170214155712_v51.8"
303,"8462",43,"23304-20170214155712_v51.8"
311,"8501",22,"25501-20170214155712_v51.8"
321,"8410",12,"25802-20170214155712_v51.8"
743,"8499",21,"25804-20170214155712_v51.8"
-56,"8517",9,"27401-20170214155712_v51.8"
384,"8130",19,"19512-20170214155712_v51.8"
133,"5859",7,"22401-20170214155712_v51.8"
64,"5914",28,"11501-20170214155712_v51.8"
-872,"5799",18,"07012-20170214155712_v51.8"
681,"7014",4,"22304-20170214155712_v51.8"
294,"8861",37,"22201-20170214155712_v51.8"
-38,"5854",2,"04901-20170214155712_v51.8"
111,"5784",17,"13501-20170214155712_v51.8"
20,"1324",1,"22302-20170214155712_v51.8"
-17,"7099",2,"24306-20170214155712_v51.8"
11,"8355",1,"25801-20170214155712_v51.8"
327,"8273",34,"23304-20170214155712_v51.8"
218,"8479",23,"31202-20170214155712_v51.8"
434,"8326",26,"24902-20170214155712_v51.8"
422,"7014",4,"24902-20170214155712_v51.8"
-473,"7151",41,"26701-20170214155712_v51.8"
445,"8202",10,"23304-20170214155712_v51.8"
619,"7146",5,"24306-20170214155712_v51.8"
165,"8676",35,"26702-20170214155712_v51.8"
59,"8690",42,"26702-20170214155712_v51.8"
363,"7146",3,"27402-20170214155712_v51.8"
370,"8046",27,"23301-20170214155712_v51.8"
429,"8431",20,"25801-20170214155712_v51.8"
147,"7429",30,"00705-20170214155712_v51.8"
624,"8070",46,"00702-20170214155712_v51.8"
249,"7022",3,"24304-20170214155712_v51.8"
221,"7128",2,"25502-20170214155712_v51.8"
-248,"8927",26,"24901-20170214155712_v51.8"
304,"7148",4,"27702-20170214155712_v51.8"
27,"7055",1,"30202-20170214155712_v51.8"
-109,"8505",15,"27401-20170214155712_v51.8"
528,"7158",5,"27402-20170214155712_v51.8"
3,"7038",1,"86004-20170214155712_v51.8"
510,"3783",29,"91302-20170214155712_v51.8"
468,"3629",15,"89101-20170214155712_v51.8"
168,"7224",16,"96202-20170214155712_v51.8"
-1220,"4702",55,"99204-20170214155712_v51.8"
569,"7227",5,"89104-20170214155712_v51.8"
8,"7038",1,"87404-20170214155712_v51.8"
343,"3023",19,"87004-20170214155712_v51.8"
2036,"8826",35,"01002-20170214155712_v51.8"
1341,"8882",19,"00702-20170214155712_v51.8"
208,"7826",29,"74502-20170214155712_v51.8"
24,"7028",1,"65502-20170214155712_v51.8"
-73,"8460",40,"24304-20170214155712_v51.8"
244,"7922",17,"53205-20170214155712_v51.8"
451,"7176",5,"60502-20170214155712_v51.8"
696,"8035",62,"00705-20170214155712_v51.8"
368,"7208",8,"30202-20170214155712_v51.8"
246,"8320",23,"24602-20170214155712_v51.8"
15,"8006",4,"00702-20170214155712_v51.8"
113,"8484",24,"02002-20170214155712_v51.8"
69,"4835",11,"99204-20170214155712_v51.8"
1409,"7036",6,"86304-20170214155712_v51.8"
232,"3551",53,"85801-20170214155712_v51.8"
-1,"3106",42,"83902-20170214155712_v51.8"
440,"3356",24,"85802-20170214155712_v51.8"
190,"4229",30,"89102-20170214155712_v51.8"
442,"3221",15,"88104-20170214155712_v51.8"
992,"4225",10,"86004-20170214155712_v51.8"
301,"3502",21,"81302-20170214155712_v51.8"
42,"7059",13,"79702-20170214155712_v51.8"
140,"7004",4,"79702-20170214155712_v51.8"
59,"1325",17,"79702-20170214155712_v51.8"
287,"1342",5,"79702-20170214155712_v51.8"
-207,"1084",10,"79702-20170214155712_v51.8"
-223,"1325",17,"79702-20170214155712_v51.8"
721,"7034",18,"79702-20170214155712_v51.8"
329,"7442",32,"62502-20170214155712_v51.8"
-14,"7423",18,"62501-20170214155712_v51.8"
171,"7359",23,"76701-20170214155712_v51.8"
599,"7604",14,"59502-20170214155712_v51.8"
1043,"1083",68,"73102-20170214155712_v51.8"
449,"7185",68,"72101-20170214155712_v51.8"
1388,"8032",27,"72101-20170214155712_v51.8"
1867,"1043",43,"72101-20170214155712_v51.8"
713,"1450",27,"73102-20170214155712_v51.8"
1952,"8517",23,"73102-20170214155712_v51.8"
1153,"8031",46,"73102-20170214155712_v51.8"
1343,"8417",38,"72101-20170214155712_v51.8"
1146,"1056",19,"72101-20170214155712_v51.8"
444,"7050",2,"79801-20170214155712_v51.8"
-203,"7208",12,"79902-20170214155712_v51.8"
170,"7201",14,"79902-20170214155712_v51.8"
413,"7208",24,"79801-20170214155712_v51.8"
-415,"7228",20,"79801-20170214155712_v51.8"
186,"7190",6,"79902-20170214155712_v51.8"
483,"7183",34,"79801-20170214155712_v51.8"
148,"7109",29,"79902-20170214155712_v51.8"
116,"7230",21,"79801-20170214155712_v51.8"
846,"7051",33,"79902-20170214155712_v51.8"
440,"7223",10,"79801-20170214155712_v51.8"
-150,"7516",28,"50502-20170214155712_v51.8"
128,"7149",34,"62501-20170214155712_v51.8"
-78,"7539",56,"71902-20170214155712_v51.8"
201,"7315",44,"76901-20170214155712_v51.8"
593,"8018",10,"03001-20170214155712_v51.8"
262,"8858",31,"32102-20170214155712_v51.8"
130,"8881",31,"32101-20170214155712_v51.8"
381,"8099",85,"75704-20170214155712_v51.8"
413,"7687",58,"75602-20170214155712_v51.8"
-70,"7144",3,"59502-20170214155712_v51.8"
-8,"1501",36,"59501-20170214155712_v51.8"
523,"1028",6,"62502-20170214155712_v51.8"
276,"8727",8,"01001-20170214155712_v51.8"
-141,"7401",38,"77101-20170214155712_v51.8"
211,"1030",31,"71902-20170214155712_v51.8"
434,"7536",12,"71901-20170214155712_v51.8"
273,"7420",23,"65502-20170214155712_v51.8"
-121,"7401",29,"62501-20170214155712_v51.8"
124,"7412",18,"63502-20170214155712_v51.8"
334,"7540",45,"59502-20170214155712_v51.8"
-803,"7239",70,"71902-20170214155712_v51.8"
-143,"7216",16,"02001-20170214155712_v51.8"
623,"7334",18,"75602-20170214155712_v51.8"
-91,"7179",26,"70301-20170214155712_v51.8"
-570,"7305",79,"75703-20170214155712_v51.8"
354,"7196",9,"65502-20170214155712_v51.8"
485,"7560",34,"75703-20170214155712_v51.8"
206,"7763",24,"77001-20170214155712_v51.8"
-411,"7522",12,"52006-20170214155712_v51.8"
-49,"7415",15,"60501-20170214155712_v51.8"
117,"7205",28,"52501-20170214155712_v51.8"
429,"8420",17,"26702-20170214155712_v51.8"
-356,"5533",46,"11302-20170214155712_v51.8"
70,"4313",2,"84302-20170214155712_v51.8"
-331,"3232",18,"87502-20170214155712_v51.8"
1043,"7036",12,"88104-20170214155712_v51.8"
15,"4831",16,"98402-20170214155712_v51.8"
355,"3394",11,"89102-20170214155712_v51.8"
154,"3088",29,"85004-20170214155712_v51.8"
676,"1334",5,"95202-20170214155712_v51.8"
-66,"3066",9,"88202-20170214155712_v51.8"
57,"4783",18,"98105-20170214155712_v51.8"
-2,"1088",2,"99204-20170214155712_v51.8"
88,"4624",11,"98802-20170214155712_v51.8"
114,"3039",16,"87901-20170214155712_v51.8"
99,"4661",21,"98205-20170214155712_v51.8"
-143,"4223",9,"99104-20170214155712_v51.8"
-358,"3230",10,"87302-20170214155712_v51.8"
185,"4711",54,"98302-20170214155712_v51.8"
801,"4670",8,"98204-20170214155712_v51.8"
-30,"5910",18,"10202-20170214155712_v51.8"
148,"5756",52,"09702-20170214155712_v51.8"
662,"8136",21,"15402-20170214155712_v51.8"
55,"5854",2,"11303-20170214155712_v51.8"
-228,"5287",24,"17204-20170214155712_v51.8"
-151,"8203",26,"22301-20170214155712_v51.8"
-582,"7105",50,"22401-20170214155712_v51.8"
105,"5038",50,"15302-20170214155712_v51.8"
39,"8130",19,"09702-20170214155712_v51.8"
-61,"8104",7,"15302-20170214155712_v51.8"
135,"5556",58,"13502-20170214155712_v51.8"
101,"7099",2,"22102-20170214155712_v51.8"
206,"5912",29,"13502-20170214155712_v51.8"
621,"5975",70,"13502-20170214155712_v51.8"
157,"7093",3,"22402-20170214155712_v51.8"
-173,"8146",33,"22302-20170214155712_v51.8"
-127,"5007",27,"07902-20170214155712_v51.8"
-1313,"5884",26,"11012-20170214155712_v51.8"
-130,"8230",16,"22104-20170214155712_v51.8"
-602,"7133",57,"19511-20170214155712_v51.8"
-831,"8101",69,"13501-20170214155712_v51.8"
373,"7014",4,"22102-20170214155712_v51.8"
-170,"3158",29,"86304-20170214155712_v51.8"
-11,"7203",1,"88104-20170214155712_v51.8"
-189,"8961",15,"27701-20170214155712_v51.8"
14,"5425",36,"15301-20170214155712_v51.8"
1129,"8589",26,"30202-20170214155712_v51.8"
-366,"7601",30,"32201-20170214155712_v51.8"
133,"7140",2,"62502-20170214155712_v51.8"
1,"8922",31,"23304-20170214155712_v51.8"
18,"8416",12,"26704-20170214155712_v51.8"
119,"7099",2,"24802-20170214155712_v51.8"
45,"7160",3,"25804-20170214155712_v51.8"
-666,"5773",45,"08502-20170214155712_v51.8"
242,"8583",13,"22201-20170214155712_v51.8"
241,"7099",2,"22202-20170214155712_v51.8"
320,"8120",14,"13502-20170214155712_v51.8"
674,"8575",41,"22202-20170214155712_v51.8"
1446,"8569",51,"22202-20170214155712_v51.8"
163,"7080",2,"00502-20170214155712_v51.8"
51,"1028",6,"50502-20170214155712_v51.8"
92,"7630",28,"32202-20170214155712_v51.8"
1726,"7014",4,"24302-20170214155712_v51.8"
592,"8719",25,"31201-20170214155712_v51.8"
107,"7170",4,"30202-20170214155712_v51.8"
-556,"4229",21,"96202-20170214155712_v51.8"
60,"7086",2,"83902-20170214155712_v51.8"
409,"7919",38,"53206-20170214155712_v51.8"
711,"8030",24,"01002-20170214155712_v51.8"
237,"8232",24,"22402-20170214155712_v51.8"
412,"7180",8,"32202-20170214155712_v51.8"
152,"7112",7,"72101-20170214155712_v51.8"
750,"7120",11,"72101-20170214155712_v51.8"
