"delay","stop.id","stop.sequence","route"
415,"8099",66,"51502-20170214155712_v51.8"
-150,"1323",67,"71901-20170214155712_v51.8"
134,"7164",3,"30202-20170214155712_v51.8"
55,"7128",2,"25802-20170214155712_v51.8"
524,"8650",24,"29902-20170214155712_v51.8"
115,"7612",15,"39002-20170214155712_v51.8"
132,"8649",20,"29901-20170214155712_v51.8"
1010,"8053",46,"00709-20170214155712_v51.8"
995,"5908",45,"23302-20170214155712_v51.8"
67,"4835",2,"98302-20170214155712_v51.8"
-129,"3362",30,"91301-20170214155712_v51.8"
-348,"8462",44,"23302-20170214155712_v51.8"
113,"7809",50,"51502-20170214155712_v51.8"
596,"8434",24,"26702-20170214155712_v51.8"
-64,"7055",45,"31201-20170214155712_v51.8"
182,"7238",17,"51501-20170214155712_v51.8"
34,"8589",26,"30202-20170214155712_v51.8"
-126,"4711",54,"98302-20170214155712_v51.8"
84,"8708",11,"31202-20170214155712_v51.8"
-122,"8918",31,"25802-20170214155712_v51.8"
181,"7427",31,"00709-20170214155712_v51.8"
26,"7099",2,"22302-20170214155712_v51.8"
538,"5044",53,"15402-20170214155712_v51.8"
31,"7099",2,"24902-20170214155712_v51.8"
151,"7148",4,"27402-20170214155712_v51.8"
324,"8423",26,"26701-20170214155712_v51.8"
85,"8887",3,"27701-20170214155712_v51.8"
977,"8421",25,"25801-20170214155712_v51.8"
-24,"8500",5,"25502-20170214155712_v51.8"
157,"7168",6,"27402-20170214155712_v51.8"
-640,"7145",37,"27701-20170214155712_v51.8"
283,"5884",50,"22402-20170214155712_v51.8"
192,"8151",44,"15301-20170214155712_v51.8"
81,"5147",3,"17001-20170214155712_v51.8"
15,"5851",3,"22401-20170214155712_v51.8"
39,"5406",66,"13502-20170214155712_v51.8"
278,"5374",51,"04902-20170214155712_v51.8"
58,"7140",2,"27702-20170214155712_v51.8"
-45,"8688",41,"26702-20170214155712_v51.8"
389,"8266",27,"24802-20170214155712_v51.8"
54,"7014",4,"24302-20170214155712_v51.8"
-11,"8412",13,"26702-20170214155712_v51.8"
276,"8314",20,"24902-20170214155712_v51.8"
29,"8414",14,"25502-20170214155712_v51.8"
-398,"8324",25,"24602-20170214155712_v51.8"
171,"8044",26,"23301-20170214155712_v51.8"
94,"8272",23,"24901-20170214155712_v51.8"
96,"7166",8,"23302-20170214155712_v51.8"
21,"7055",1,"29902-20170214155712_v51.8"
-729,"7055",31,"30201-20170214155712_v51.8"
315,"8201",47,"24901-20170214155712_v51.8"
357,"7036",6,"87902-20170214155712_v51.8"
49,"3212",28,"87502-20170214155712_v51.8"
-161,"4111",48,"87501-20170214155712_v51.8"
-159,"7227",33,"62501-20170214155712_v51.8"
145,"7363",21,"76701-20170214155712_v51.8"
138,"8725",23,"31201-20170214155712_v51.8"
-92,"1078",9,"79702-20170214155712_v51.8"
75,"7004",4,"79702-20170214155712_v51.8"
16,"7053",14,"79702-20170214155712_v51.8"
-258,"7054",8,"79702-20170214155712_v51.8"
281,"7563",18,"65501-20170214155712_v51.8"
