"delay","stop.id","stop.sequence","route"
1528,"8569",1,"10202-20170214155712_v51.8"
-293,"7086",47,"22401-20170214155712_v51.8"
-116,"1626",2,"13902-20170214155712_v51.8"
-324,"8117",56,"08701-20170214155712_v51.8"
410,"8431",22,"26701-20170214155712_v51.8"
521,"7148",6,"24304-20170214155712_v51.8"
194,"8725",9,"30201-20170214155712_v51.8"
-280,"8389",32,"31202-20170214155712_v51.8"
64,"1025",40,"39002-20170214155712_v51.8"
251,"7553",49,"71902-20170214155712_v51.8"
57,"5344",5,"14501-20170214155712_v51.8"
-222,"8189",24,"39002-20170214155712_v51.8"
282,"5220",7,"17202-20170214155712_v51.8"
77,"7028",27,"70301-20170214155712_v51.8"
-363,"7177",31,"62501-20170214155712_v51.8"
337,"8018",16,"00706-20170214155712_v51.8"
-111,"7418",22,"63502-20170214155712_v51.8"
-234,"7818",57,"59502-20170214155712_v51.8"
-21,"8084",17,"02002-20170214155712_v51.8"
126,"8274",24,"24901-20170214155712_v51.8"
10,"7058",1,"25502-20170214155712_v51.8"
374,"8713",28,"31201-20170214155712_v51.8"
63,"8849",11,"01001-20170214155712_v51.8"
221,"7345",30,"76701-20170214155712_v51.8"
263,"8124",16,"03006-20170214155712_v51.8"
77,"7479",27,"59501-20170214155712_v51.8"
485,"7207",43,"53205-20170214155712_v51.8"
-111,"7430",28,"65502-20170214155712_v51.8"
868,"8401",35,"25801-20170214155712_v51.8"
-646,"8739",24,"30202-20170214155712_v51.8"
-437,"8584",42,"25802-20170214155712_v51.8"
738,"7285",23,"25804-20170214155712_v51.8"
221,"8435",18,"25801-20170214155712_v51.8"
273,"8504",9,"27402-20170214155712_v51.8"
242,"7148",4,"27702-20170214155712_v51.8"
-12,"8883",9,"29901-20170214155712_v51.8"
-153,"7175",39,"39001-20170214155712_v51.8"
8,"8658",28,"29902-20170214155712_v51.8"
187,"7164",3,"29902-20170214155712_v51.8"
57,"7056",1,"26700-20170214155712_v51.8"
209,"8610",11,"29902-20170214155712_v51.8"
491,"8401",37,"26701-20170214155712_v51.8"
-387,"7601",30,"32201-20170214155712_v51.8"
169,"7003",50,"76701-20170214155712_v51.8"
-2,"1053",1,"24802-20170214155712_v51.8"
307,"7285",26,"25802-20170214155712_v51.8"
-319,"8676",40,"29902-20170214155712_v51.8"
117,"8170",10,"39001-20170214155712_v51.8"
442,"5278",34,"11502-20170214155712_v51.8"
17,"7076",1,"15012-20170214155712_v51.8"
32,"7202",7,"30202-20170214155712_v51.8"
195,"7433",28,"00705-20170214155712_v51.8"
91,"4625",8,"98301-20170214155712_v51.8"
1332,"7430",54,"00706-20170214155712_v51.8"
162,"7140",2,"62502-20170214155712_v51.8"
634,"8480",46,"59501-20170214155712_v51.8"
293,"7413",32,"77101-20170214155712_v51.8"
-386,"7678",23,"70302-20170214155712_v51.8"
-161,"7141",48,"32101-20170214155712_v51.8"
65,"3462",25,"81302-20170214155712_v51.8"
2,"5070",22,"04902-20170214155712_v51.8"
57,"7158",5,"27402-20170214155712_v51.8"
21,"8490",2,"02001-20170214155712_v51.8"
278,"7624",29,"32102-20170214155712_v51.8"
-299,"1097",25,"00701-20170214155712_v51.8"
-113,"1028",14,"88103-20170214155712_v51.8"
479,"8672",16,"26700-20170214155712_v51.8"
-402,"8460",42,"23304-20170214155712_v51.8"
-133,"8981",60,"71901-20170214155712_v51.8"
89,"3326",28,"87304-20170214155712_v51.8"
-337,"4111",5,"82001-20170214155712_v51.8"
-51,"5854",2,"04901-20170214155712_v51.8"
-59,"8213",40,"22201-20170214155712_v51.8"
352,"8897",19,"03001-20170214155712_v51.8"
-897,"7091",52,"87501-20170214155712_v51.8"
327,"8418",13,"26704-20170214155712_v51.8"
86,"1338",42,"32201-20170214155712_v51.8"
