"delay","stop.id","stop.sequence","route"
90,"7128",2,"26702-20170214155712_v51.8"
-20,"7170",4,"30202-20170214155712_v51.8"
295,"8943",32,"29902-20170214155712_v51.8"
155,"8410",12,"25802-20170214155712_v51.8"
-242,"8732",20,"31202-20170214155712_v51.8"
1532,"8290",40,"24902-20170214155712_v51.8"
-26,"4540",5,"98108-20170214155712_v51.8"
25,"3349",32,"89101-20170214155712_v51.8"
51,"8687",6,"26701-20170214155712_v51.8"
-159,"7139",43,"26702-20170214155712_v51.8"
161,"7556",53,"59502-20170214155712_v51.8"
6,"8434",24,"26702-20170214155712_v51.8"
-55,"7968",72,"00710-20170214155712_v51.8"
58,"7167",31,"23301-20170214155712_v51.8"
58,"7146",3,"27702-20170214155712_v51.8"
-257,"8584",42,"25802-20170214155712_v51.8"
-329,"8938",31,"27702-20170214155712_v51.8"
-63,"5507",67,"15302-20170214155712_v51.8"
180,"1642",2,"17002-20170214155712_v51.8"
16,"7105",35,"22301-20170214155712_v51.8"
-853,"7141",38,"27701-20170214155712_v51.8"
65,"7099",2,"24902-20170214155712_v51.8"
202,"8508",11,"27402-20170214155712_v51.8"
321,"8460",43,"23302-20170214155712_v51.8"
287,"8266",27,"24902-20170214155712_v51.8"
-90,"7105",55,"24901-20170214155712_v51.8"
-50,"8519",8,"27401-20170214155712_v51.8"
177,"8407",32,"25801-20170214155712_v51.8"
129,"3320",41,"85801-20170214155712_v51.8"
-394,"3007",67,"83902-20170214155712_v51.8"
46,"8899",7,"02001-20170214155712_v51.8"
60,"8717",26,"31201-20170214155712_v51.8"
86,"4540",5,"98204-20170214155712_v51.8"
60,"3050",9,"87501-20170214155712_v51.8"
-241,"7131",11,"79702-20170214155712_v51.8"
-64,"1325",17,"79702-20170214155712_v51.8"
-103,"7054",8,"79702-20170214155712_v51.8"
28,"7059",13,"79702-20170214155712_v51.8"
-2,"1072",19,"79702-20170214155712_v51.8"
119,"7555",4,"59501-20170214155712_v51.8"
89,"8707",55,"72101-20170214155712_v51.8"
515,"8863",33,"72101-20170214155712_v51.8"
47,"1096",4,"73102-20170214155712_v51.8"
3,"8708",17,"73102-20170214155712_v51.8"
-3,"8049",34,"73102-20170214155712_v51.8"
247,"7214",22,"79902-20170214155712_v51.8"
153,"7016",36,"79801-20170214155712_v51.8"
57,"7177",15,"79902-20170214155712_v51.8"
-28,"7051",33,"79902-20170214155712_v51.8"
-71,"7211",16,"79801-20170214155712_v51.8"
732,"7016",36,"79801-20170214155712_v51.8"
111,"7592",43,"65502-20170214155712_v51.8"
167,"7199",34,"63501-20170214155712_v51.8"
137,"7416",21,"63502-20170214155712_v51.8"
34,"7082",3,"02002-20170214155712_v51.8"
-36,"8799",25,"71901-20170214155712_v51.8"
374,"7989",20,"75602-20170214155712_v51.8"
158,"8126",17,"03002-20170214155712_v51.8"
14,"7853",29,"71902-20170214155712_v51.8"
-20,"7771",8,"60501-20170214155712_v51.8"
308,"7177",59,"51501-20170214155712_v51.8"
925,"7307",48,"76701-20170214155712_v51.8"
433,"3351",54,"87901-20170214155712_v51.8"
217,"7036",6,"87502-20170214155712_v51.8"
1316,"3076",63,"85802-20170214155712_v51.8"
-98,"3353",15,"85802-20170214155712_v51.8"
-286,"7038",69,"83901-20170214155712_v51.8"
115,"4791",1,"98105-20170214155712_v51.8"
72,"3164",30,"87902-20170214155712_v51.8"
-42,"4777",31,"98301-20170214155712_v51.8"
-213,"5912",29,"15402-20170214155712_v51.8"
-272,"5215",12,"17201-20170214155712_v51.8"
296,"8230",23,"22302-20170214155712_v51.8"
205,"5843",24,"14902-20170214155712_v51.8"
334,"8125",63,"13601-20170214155712_v51.8"
431,"5078",24,"04901-20170214155712_v51.8"
-341,"7089",41,"22101-20170214155712_v51.8"
60,"8137",53,"15401-20170214155712_v51.8"
231,"7166",8,"22102-20170214155712_v51.8"
251,"5034",21,"15301-20170214155712_v51.8"
-209,"4620",51,"98302-20170214155712_v51.8"
255,"5914",28,"11501-20170214155712_v51.8"
789,"8044",51,"00709-20170214155712_v51.8"
-340,"1099",65,"51502-20170214155712_v51.8"
-48,"8279",21,"24901-20170214155712_v51.8"
172,"8202",10,"23302-20170214155712_v51.8"
146,"5870",36,"13602-20170214155712_v51.8"
31,"7099",2,"22302-20170214155712_v51.8"
103,"8114",12,"11302-20170214155712_v51.8"
247,"5906",1,"22301-20170214155712_v51.8"
222,"8123",15,"03001-20170214155712_v51.8"
963,"8584",42,"25802-20170214155712_v51.8"
-8,"4087",32,"84301-20170214155712_v51.8"
14,"7686",6,"75601-20170214155712_v51.8"
212,"7193",64,"72101-20170214155712_v51.8"
-13,"7106",4,"72101-20170214155712_v51.8"
843,"8047",35,"73102-20170214155712_v51.8"
-310,"1083",68,"73102-20170214155712_v51.8"
197,"8233",28,"22401-20170214155712_v51.8"
113,"3398",13,"89102-20170214155712_v51.8"
128,"8738",3,"30201-20170214155712_v51.8"
139,"7004",4,"79702-20170214155712_v51.8"
92,"7184",3,"79902-20170214155712_v51.8"
-24,"7199",26,"79801-20170214155712_v51.8"
-291,"5074",26,"04902-20170214155712_v51.8"
61,"5796",25,"14901-20170214155712_v51.8"
194,"7028",46,"65501-20170214155712_v51.8"
-75,"4308",44,"22102-20170214155712_v51.8"
6,"8669",7,"27701-20170214155712_v51.8"
-69,"7036",3,"95502-20170214155712_v51.8"
118,"4086",4,"97402-20170214155712_v51.8"
73,"4168",6,"97601-20170214155712_v51.8"
120,"4016",17,"95504-20170214155712_v51.8"
-506,"7071",38,"95501-20170214155712_v51.8"
112,"4144",6,"97301-20170214155712_v51.8"
7,"3388",8,"91506-20170214155712_v51.8"
50,"3983",25,"97401-20170214155712_v51.8"
171,"3751",2,"95501-20170214155712_v51.8"
721,"4030",25,"97301-20170214155712_v51.8"
117,"6567",3,"30901-20170214155712_v51.8"
79,"2716",13,"37101-20170214155712_v51.8"
74,"6730",10,"36602-20170214155712_v51.8"
87,"6778",31,"36202-20170214155712_v51.8"
-49,"6044",29,"03302-20170214155712_v51.8"
-14,"2355",50,"36101-20170214155712_v51.8"
-85,"2573",11,"37202-20170214155712_v51.8"
14,"6013",36,"03301-20170214155712_v51.8"
-55,"2053",13,"36601-20170214155712_v51.8"
-12,"2127",17,"36102-20170214155712_v51.8"
44,"3349",36,"90503-20170214155712_v51.8"
-257,"6632",29,"36502-20170214155712_v51.8"
118,"2525",4,"03301-20170214155712_v51.8"
47,"6885",39,"36102-20170214155712_v51.8"
-85,"6875",21,"36101-20170214155712_v51.8"
-320,"6767",31,"36302-20170214155712_v51.8"
57,"2522",1,"37802-20170214155712_v51.8"
3000,"5640",1,"08001-20170214155712_v51.8"
83,"3944",9,"94501-20170214155712_v51.8"
88,"4226",1,"10001-20170214155712_v51.8"
326,"4214",63,"88001-20170214155712_v51.8"
-198,"3502",21,"81312-20170214155712_v51.8"
-201,"3659",28,"90504-20170214155712_v51.8"
5,"3164",6,"88602-20170214155712_v51.8"
-466,"7035",8,"10003-20170214155712_v51.8"
116,"3100",22,"88601-20170214155712_v51.8"
73,"5563",3,"08001-20170214155712_v51.8"
349,"3796",49,"88002-20170214155712_v51.8"
55,"6965",28,"36501-20170214155712_v51.8"
85,"2634",8,"37702-20170214155712_v51.8"
-105,"4229",8,"10002-20170214155712_v51.8"
67,"4089",4,"92203-20170214155712_v51.8"
67,"3416",3,"80304-20170214155712_v51.8"
402,"3913",11,"92202-20170214155712_v51.8"
204,"7036",3,"10002-20170214155712_v51.8"
273,"3049",26,"88706-20170214155712_v51.8"
234,"3221",6,"10004-20170214155712_v51.8"
-279,"7085",57,"19501-20170214155712_v51.8"
167,"5968",56,"00905-20170214155712_v51.8"
-167,"5914",58,"19502-20170214155712_v51.8"
40,"7639",5,"00803-20170214155712_v51.8"
62,"5918",4,"18601-20170214155712_v51.8"
-39,"6140",42,"50002-20170214155712_v51.8"
-12,"6260",12,"55001-20170214155712_v51.8"
82,"2335",3,"35301-20170214155712_v51.8"
165,"1761",43,"55211-20170214155712_v51.8"
-271,"6327",17,"35302-20170214155712_v51.8"
26,"7501",41,"55001-20170214155712_v51.8"
14,"6280",55,"55006-20170214155712_v51.8"
9,"7156",5,"50002-20170214155712_v51.8"
-243,"1760",37,"50001-20170214155712_v51.8"
1461,"7521",39,"50001-20170214155712_v51.8"
56,"1420",60,"55001-20170214155712_v51.8"
324,"7610",16,"55006-20170214155712_v51.8"
597,"7053",7,"30005-20170214155712_v51.8"
2278,"2010",11,"30006-20170214155712_v51.8"
57,"1464",2,"30006-20170214155712_v51.8"
248,"2421",28,"38012-20170214155712_v51.8"
5,"6953",10,"38012-20170214155712_v51.8"
470,"2002",22,"38011-20170214155712_v51.8"
-81,"6525",12,"38011-20170214155712_v51.8"
200,"7239",1,"03202-20170214155712_v51.8"
-85,"6233",37,"03101-20170214155712_v51.8"
-382,"2179",51,"31301-20170214155712_v51.8"
41,"6443",8,"03101-20170214155712_v51.8"
159,"6711",38,"30902-20170214155712_v51.8"
-144,"6957",31,"31302-20170214155712_v51.8"
4,"6639",6,"03201-20170214155712_v51.8"
37,"6650",19,"31301-20170214155712_v51.8"
50,"2179",55,"32501-20170214155712_v51.8"
1124,"2496",40,"32502-20170214155712_v51.8"
-340,"6389",30,"32501-20170214155712_v51.8"
175,"7180",6,"30902-20170214155712_v51.8"
40,"2311",23,"03102-20170214155712_v51.8"
-3,"6929",4,"31302-20170214155712_v51.8"
120,"8757",38,"30901-20170214155712_v51.8"
402,"6372",25,"32502-20170214155712_v51.8"
272,"1184",15,"00201-20170214155712_v51.8"
549,"1203",20,"00202-20170214155712_v51.8"
172,"1160",17,"00103-20170214155712_v51.8"
702,"1183",17,"00104-20170214155712_v51.8"
