"delay","stop.id","stop.sequence","route"
183,"8665",13,"09951-20170214155712_v51.8"
38,"5394",7,"14901-20170214155712_v51.8"
78,"7303",3,"71901-20170214155712_v51.8"
-78,"7610",17,"32202-20170214155712_v51.8"
78,"8723",10,"30201-20170214155712_v51.8"
-88,"7220",48,"01001-20170214155712_v51.8"
87,"8713",14,"30201-20170214155712_v51.8"
-157,"8584",42,"25802-20170214155712_v51.8"
96,"7307",78,"75703-20170214155712_v51.8"
-273,"7055",45,"39001-20170214155712_v51.8"
74,"5847",39,"14901-20170214155712_v51.8"
-34,"8201",18,"24601-20170214155712_v51.8"
9,"7168",4,"25502-20170214155712_v51.8"
411,"7342",40,"77002-20170214155712_v51.8"
-236,"5860",35,"14501-20170214155712_v51.8"
-368,"7227",44,"32101-20170214155712_v51.8"
152,"7842",19,"74501-20170214155712_v51.8"
-483,"8501",40,"26701-20170214155712_v51.8"
121,"7080",2,"02002-20170214155712_v51.8"
578,"7840",38,"02157-20170214155712_v51.8"
191,"7873",20,"71902-20170214155712_v51.8"
464,"1626",1,"13901-20170214155712_v51.8"
668,"7761",20,"01457-20170214155712_v51.8"
-254,"7175",39,"29901-20170214155712_v51.8"
317,"8717",26,"31201-20170214155712_v51.8"
-9,"8309",30,"24805-20170214155712_v51.8"
578,"8272",23,"24909-20170214155712_v51.8"
744,"8051",48,"00705-20170214155712_v51.8"
675,"8074",12,"00753-20170214155712_v51.8"
-598,"7331",67,"75703-20170214155712_v51.8"
-53,"7063",42,"31201-20170214155712_v51.8"
591,"7425",18,"01757-20170214155712_v51.8"
285,"8850",47,"01002-20170214155712_v51.8"
-137,"7227",33,"62501-20170214155712_v51.8"
1583,"7028",1,"70302-20170214155712_v51.8"
-294,"8001",29,"03002-20170214155712_v51.8"
100,"8685",7,"26709-20170214155712_v51.8"
821,"7151",39,"25801-20170214155712_v51.8"
310,"7894",14,"25801-20170214155712_v51.8"
188,"8457",3,"23301-20170214155712_v51.8"
-56,"8901",48,"24902-20170214155712_v51.8"
291,"8394",12,"31201-20170214155712_v51.8"
408,"8657",16,"09951-20170214155712_v51.8"
-191,"1088",33,"24803-20170214155712_v51.8"
288,"8457",3,"24305-20170214155712_v51.8"
-151,"7149",24,"25501-20170214155712_v51.8"
-132,"8277",15,"24803-20170214155712_v51.8"
296,"8431",22,"26709-20170214155712_v51.8"
762,"8637",25,"09951-20170214155712_v51.8"
659,"8305",32,"24805-20170214155712_v51.8"
56,"7339",30,"76801-20170214155712_v51.8"
-24,"7215",16,"02003-20170214155712_v51.8"
446,"7930",30,"75703-20170214155712_v51.8"
-329,"7417",21,"62501-20170214155712_v51.8"
127,"3275",7,"05251-20170214155712_v51.8"
471,"3151",19,"03155-20170214155712_v51.8"
466,"3032",16,"03351-20170214155712_v51.8"
-466,"7063",28,"30201-20170214155712_v51.8"
-395,"8503",16,"27401-20170214155712_v51.8"
17,"8887",7,"29901-20170214155712_v51.8"
65,"5906",1,"22301-20170214155712_v51.8"
-714,"7024",23,"27401-20170214155712_v51.8"
5,"5011",21,"17202-20170214155712_v51.8"
12,"8911",7,"25809-20170214155712_v51.8"
138,"7059",21,"31005-20170214155712_v51.8"
108,"8703",18,"30201-20170214155712_v51.8"
34,"8318",24,"23302-20170214155712_v51.8"
-162,"8399",27,"31202-20170214155712_v51.8"
386,"8454",6,"24301-20170214155712_v51.8"
-77,"8193",22,"39002-20170214155712_v51.8"
98,"7170",4,"29902-20170214155712_v51.8"
574,"8062",41,"00702-20170214155712_v51.8"
-90,"8708",11,"30202-20170214155712_v51.8"
-5,"4667",40,"98203-20170214155712_v51.8"
523,"3310",45,"85801-20170214155712_v51.8"
32,"4225",1,"87303-20170214155712_v51.8"
-251,"7159",34,"89103-20170214155712_v51.8"
-431,"7147",10,"26707-20170214155712_v51.8"
110,"7252",19,"74502-20170214155712_v51.8"
-301,"7625",21,"32101-20170214155712_v51.8"
-120,"7305",56,"74503-20170214155712_v51.8"
498,"7421",22,"05553-20170214155712_v51.8"
24,"7821",1,"65501-20170214155712_v51.8"
76,"7431",14,"62501-20170214155712_v51.8"
54,"8396",13,"31005-20170214155712_v51.8"
420,"7177",43,"50501-20170214155712_v51.8"
181,"8428",21,"26702-20170214155712_v51.8"
15,"8581",1,"30201-20170214155712_v51.8"
179,"8943",32,"29902-20170214155712_v51.8"
389,"7089",50,"24909-20170214155712_v51.8"
77,"7151",41,"26701-20170214155712_v51.8"
42,"7547",8,"59501-20170214155712_v51.8"
163,"7149",24,"25501-20170214155712_v51.8"
-2,"8423",24,"25803-20170214155712_v51.8"
31,"4809",6,"98107-20170214155712_v51.8"
120,"4502",9,"04653-20170214155712_v51.8"
-77,"5104",22,"07011-20170214155712_v51.8"
