"delay","stop.id","stop.sequence","route"
-96,"8704",10,"30202-20170214155712_v51.8"
95,"8408",11,"25802-20170214155712_v51.8"
592,"8698",34,"29902-20170214155712_v51.8"
363,"8191",23,"39002-20170214155712_v51.8"
262,"8605",35,"29901-20170214155712_v51.8"
-4,"7128",2,"25502-20170214155712_v51.8"
1067,"8827",56,"00709-20170214155712_v51.8"
164,"4683",17,"98302-20170214155712_v51.8"
-146,"3551",37,"91301-20170214155712_v51.8"
-109,"8099",66,"51502-20170214155712_v51.8"
665,"8678",36,"26702-20170214155712_v51.8"
383,"7055",45,"31201-20170214155712_v51.8"
373,"7507",29,"51501-20170214155712_v51.8"
79,"8742",21,"31202-20170214155712_v51.8"
-77,"8584",42,"25802-20170214155712_v51.8"
169,"8061",42,"00709-20170214155712_v51.8"
-42,"7148",6,"22302-20170214155712_v51.8"
632,"5503",68,"15402-20170214155712_v51.8"
91,"7148",6,"24902-20170214155712_v51.8"
-67,"8508",11,"27402-20170214155712_v51.8"
389,"8405",35,"26701-20170214155712_v51.8"
-58,"7160",3,"25502-20170214155712_v51.8"
167,"8533",17,"27701-20170214155712_v51.8"
813,"8401",35,"25801-20170214155712_v51.8"
-399,"8420",17,"25502-20170214155712_v51.8"
-327,"8524",18,"27402-20170214155712_v51.8"
-12,"8125",55,"15301-20170214155712_v51.8"
176,"5203",14,"17001-20170214155712_v51.8"
-87,"5906",16,"22401-20170214155712_v51.8"
303,"5860",59,"04902-20170214155712_v51.8"
-4,"5392",6,"14901-20170214155712_v51.8"
-93,"8506",10,"27702-20170214155712_v51.8"
317,"8298",44,"24802-20170214155712_v51.8"
-59,"8204",11,"24302-20170214155712_v51.8"
27,"8434",24,"26702-20170214155712_v51.8"
361,"8266",27,"24902-20170214155712_v51.8"
-246,"7285",26,"25502-20170214155712_v51.8"
-366,"7151",37,"23301-20170214155712_v51.8"
86,"8315",35,"24901-20170214155712_v51.8"
266,"7999",19,"23302-20170214155712_v51.8"
111,"8600",6,"29902-20170214155712_v51.8"
304,"1090",54,"24901-20170214155712_v51.8"
257,"3547",9,"87902-20170214155712_v51.8"
145,"3172",37,"87502-20170214155712_v51.8"
-431,"1079",51,"87501-20170214155712_v51.8"
-197,"7028",38,"62501-20170214155712_v51.8"
28,"7327",39,"76701-20170214155712_v51.8"
188,"8701",33,"31201-20170214155712_v51.8"
41,"3071",11,"85801-20170214155712_v51.8"
-57,"7059",13,"79702-20170214155712_v51.8"
219,"7004",4,"79702-20170214155712_v51.8"
-171,"7054",8,"79702-20170214155712_v51.8"
41,"7049",16,"79702-20170214155712_v51.8"
-379,"1072",19,"79702-20170214155712_v51.8"
-67,"1067",2,"79702-20170214155712_v51.8"
-412,"7131",11,"79702-20170214155712_v51.8"
-64,"7401",35,"65501-20170214155712_v51.8"
-49,"8497",57,"73102-20170214155712_v51.8"
-184,"1079",67,"73102-20170214155712_v51.8"
-25,"8516",49,"72101-20170214155712_v51.8"
449,"7106",4,"72101-20170214155712_v51.8"
465,"8030",25,"72101-20170214155712_v51.8"
187,"1094",69,"73102-20170214155712_v51.8"
10,"7198",11,"73102-20170214155712_v51.8"
353,"8061",21,"73102-20170214155712_v51.8"
262,"7200",11,"79902-20170214155712_v51.8"
-48,"7208",24,"79801-20170214155712_v51.8"
-164,"7106",6,"79801-20170214155712_v51.8"
42,"7213",15,"79801-20170214155712_v51.8"
325,"7231",16,"79902-20170214155712_v51.8"
145,"7189",31,"79801-20170214155712_v51.8"
439,"7135",17,"79801-20170214155712_v51.8"
109,"8535",2,"63501-20170214155712_v51.8"
188,"7448",35,"62502-20170214155712_v51.8"
301,"7132",5,"02002-20170214155712_v51.8"
-189,"1323",1,"71902-20170214155712_v51.8"
-81,"7462",27,"59502-20170214155712_v51.8"
314,"8015",22,"03002-20170214155712_v51.8"
252,"1462",33,"74502-20170214155712_v51.8"
242,"7325",12,"76902-20170214155712_v51.8"
52,"7401",22,"60501-20170214155712_v51.8"
-239,"7618",37,"51502-20170214155712_v51.8"
133,"7164",3,"60502-20170214155712_v51.8"
648,"7984",36,"75601-20170214155712_v51.8"
159,"7611",28,"39001-20170214155712_v51.8"
-141,"5073",21,"08702-20170214155712_v51.8"
300,"3266",24,"83902-20170214155712_v51.8"
-40,"4831",1,"98107-20170214155712_v51.8"
250,"4423",7,"89101-20170214155712_v51.8"
190,"1090",4,"85802-20170214155712_v51.8"
12,"4755",31,"98203-20170214155712_v51.8"
195,"4656",15,"98206-20170214155712_v51.8"
-205,"3213",47,"87901-20170214155712_v51.8"
-108,"3076",71,"83902-20170214155712_v51.8"
-117,"3098",52,"85802-20170214155712_v51.8"
-110,"4810",15,"98106-20170214155712_v51.8"
157,"3551",60,"83901-20170214155712_v51.8"
429,"3565",5,"98602-20170214155712_v51.8"
-294,"7133",65,"08701-20170214155712_v51.8"
56,"7086",42,"22101-20170214155712_v51.8"
106,"5236",13,"17202-20170214155712_v51.8"
-156,"8236",26,"22102-20170214155712_v51.8"
141,"8241",27,"22201-20170214155712_v51.8"
129,"5810",50,"13502-20170214155712_v51.8"
181,"7082",2,"04902-20170214155712_v51.8"
-1192,"7099",2,"22102-20170214155712_v51.8"
109,"8148",34,"22402-20170214155712_v51.8"
22,"7136",4,"15402-20170214155712_v51.8"
19,"7026",1,"27402-20170214155712_v51.8"
90,"7003",38,"74501-20170214155712_v51.8"
3000,"5908",1,"24901-20170214155712_v51.8"
32,"5908",1,"23301-20170214155712_v51.8"
408,"8052",36,"00710-20170214155712_v51.8"
16,"8149",53,"13601-20170214155712_v51.8"
-17,"8134",20,"13502-20170214155712_v51.8"
83,"5854",2,"04901-20170214155712_v51.8"
23,"5515",9,"11301-20170214155712_v51.8"
-295,"8207",24,"22301-20170214155712_v51.8"
-345,"4308",44,"22102-20170214155712_v51.8"
-512,"7133",26,"03001-20170214155712_v51.8"
115,"7144",3,"51502-20170214155712_v51.8"
770,"8584",50,"24802-20170214155712_v51.8"
-283,"7401",36,"77001-20170214155712_v51.8"
102,"3248",12,"84301-20170214155712_v51.8"
-10,"7233",22,"02001-20170214155712_v51.8"
-149,"2005",46,"32102-20170214155712_v51.8"
74,"7199",61,"72101-20170214155712_v51.8"
1697,"8516",49,"72101-20170214155712_v51.8"
470,"8047",35,"73102-20170214155712_v51.8"
-643,"1083",68,"73102-20170214155712_v51.8"
412,"5527",40,"11502-20170214155712_v51.8"
184,"5912",29,"15302-20170214155712_v51.8"
-10,"4560",11,"98502-20170214155712_v51.8"
2,"8711",15,"30201-20170214155712_v51.8"
39,"1072",19,"79702-20170214155712_v51.8"
145,"7113",27,"79902-20170214155712_v51.8"
-193,"7052",3,"79801-20170214155712_v51.8"
-179,"7216",23,"79902-20170214155712_v51.8"
246,"5287",35,"15401-20170214155712_v51.8"
184,"7408",16,"65502-20170214155712_v51.8"
-309,"8866",17,"22002-20170214155712_v51.8"
107,"3996",8,"91302-20170214155712_v51.8"
-479,"8501",17,"27401-20170214155712_v51.8"
-502,"8532",22,"27402-20170214155712_v51.8"
-54,"8451",36,"27702-20170214155712_v51.8"
-249,"8532",22,"27402-20170214155712_v51.8"
-388,"7071",36,"97301-20170214155712_v51.8"
120,"7034",2,"97302-20170214155712_v51.8"
10,"3941",9,"97502-20170214155712_v51.8"
-167,"4084",10,"95502-20170214155712_v51.8"
-415,"3961",33,"97401-20170214155712_v51.8"
109,"4245",6,"95704-20170214155712_v51.8"
