"delay","stop.id","stop.sequence","route"
159,"5276",15,"14902-20170214155712_v51.8"
-19,"7093",3,"22302-20170214155712_v51.8"
-242,"7087",68,"08701-20170214155712_v51.8"
1363,"7147",7,"89104-20170214155712_v51.8"
407,"7064",2,"30202-20170214155712_v51.8"
261,"8503",39,"26701-20170214155712_v51.8"
31,"8808",27,"24304-20170214155712_v51.8"
-339,"7171",26,"30201-20170214155712_v51.8"
88,"8581",1,"30201-20170214155712_v51.8"
-166,"7813",68,"71902-20170214155712_v51.8"
118,"5446",24,"14501-20170214155712_v51.8"
-429,"1405",41,"39002-20170214155712_v51.8"
-83,"5014",7,"17201-20170214155712_v51.8"
172,"7666",15,"70302-20170214155712_v51.8"
-383,"7028",38,"62501-20170214155712_v51.8"
1270,"8034",21,"00706-20170214155712_v51.8"
-656,"1305",44,"63502-20170214155712_v51.8"
-132,"7245",25,"74501-20170214155712_v51.8"
531,"7975",27,"75602-20170214155712_v51.8"
12,"1061",1,"01002-20170214155712_v51.8"
338,"8305",40,"24901-20170214155712_v51.8"
187,"8418",16,"25502-20170214155712_v51.8"
37,"7151",41,"31201-20170214155712_v51.8"
270,"8823",24,"01001-20170214155712_v51.8"
19,"7055",1,"29902-20170214155712_v51.8"
-34,"7003",50,"76701-20170214155712_v51.8"
237,"8480",46,"59501-20170214155712_v51.8"
5,"7015",1,"02002-20170214155712_v51.8"
212,"7141",53,"53205-20170214155712_v51.8"
750,"7128",2,"25502-20170214155712_v51.8"
588,"8584",39,"25804-20170214155712_v51.8"
-193,"8501",38,"25801-20170214155712_v51.8"
-429,"8532",22,"27702-20170214155712_v51.8"
178,"8605",35,"29901-20170214155712_v51.8"
28,"7146",5,"24602-20170214155712_v51.8"
419,"8608",10,"29902-20170214155712_v51.8"
173,"8430",5,"26700-20170214155712_v51.8"
96,"8662",30,"29902-20170214155712_v51.8"
197,"7148",4,"27402-20170214155712_v51.8"
81,"7128",2,"26702-20170214155712_v51.8"
21,"7058",1,"26702-20170214155712_v51.8"
72,"7147",39,"32201-20170214155712_v51.8"
47,"7084",4,"02004-20170214155712_v51.8"
70,"1323",1,"71902-20170214155712_v51.8"
142,"7118",11,"00502-20170214155712_v51.8"
475,"7148",6,"24802-20170214155712_v51.8"
7,"7137",7,"25504-20170214155712_v51.8"
-1,"8584",42,"25802-20170214155712_v51.8"
-1,"8447",14,"26701-20170214155712_v51.8"
103,"7607",30,"39001-20170214155712_v51.8"
69,"5841",57,"11502-20170214155712_v51.8"
89,"8479",23,"30202-20170214155712_v51.8"
245,"7168",6,"27402-20170214155712_v51.8"
430,"7146",5,"24804-20170214155712_v51.8"
-73,"1097",40,"00705-20170214155712_v51.8"
72,"8508",11,"27402-20170214155712_v51.8"
404,"7170",4,"29902-20170214155712_v51.8"
-2,"1088",3,"87902-20170214155712_v51.8"
129,"4781",33,"98301-20170214155712_v51.8"
39,"3551",1,"82001-20170214155712_v51.8"
185,"7600",9,"39002-20170214155712_v51.8"
745,"1047",77,"00706-20170214155712_v51.8"
654,"7180",9,"62502-20170214155712_v51.8"
644,"7149",55,"59501-20170214155712_v51.8"
727,"8117",39,"01001-20170214155712_v51.8"
148,"7146",3,"27402-20170214155712_v51.8"
338,"7306",5,"76902-20170214155712_v51.8"
154,"3399",16,"81301-20170214155712_v51.8"
-212,"5913",42,"04902-20170214155712_v51.8"
-164,"7085",25,"02001-20170214155712_v51.8"
646,"7025",42,"32102-20170214155712_v51.8"
462,"7164",3,"31202-20170214155712_v51.8"
-403,"8037",41,"00701-20170214155712_v51.8"
286,"7202",18,"88103-20170214155712_v51.8"
391,"3131",18,"87501-20170214155712_v51.8"
68,"1323",1,"76702-20170214155712_v51.8"
-62,"3234",16,"87902-20170214155712_v51.8"
10,"1088",2,"99204-20170214155712_v51.8"
42,"7038",10,"82001-20170214155712_v51.8"
-57,"5076",23,"04901-20170214155712_v51.8"
-76,"1088",51,"22201-20170214155712_v51.8"
88,"7087",29,"03001-20170214155712_v51.8"
350,"5837",20,"14901-20170214155712_v51.8"
179,"8684",36,"26704-20170214155712_v51.8"
-245,"8622",13,"32102-20170214155712_v51.8"
-392,"7284",45,"32101-20170214155712_v51.8"
161,"5703",26,"08701-20170214155712_v51.8"
202,"7146",5,"22302-20170214155712_v51.8"
62,"8128",18,"11502-20170214155712_v51.8"
-50,"8106",9,"04902-20170214155712_v51.8"
384,"5070",30,"12102-20170214155712_v51.8"
252,"5914",44,"15401-20170214155712_v51.8"
-849,"7087",71,"15301-20170214155712_v51.8"
-143,"8212",14,"22002-20170214155712_v51.8"
140,"8130",20,"04902-20170214155712_v51.8"
1260,"5402",68,"13502-20170214155712_v51.8"
368,"3122",49,"85802-20170214155712_v51.8"
501,"3355",8,"76004-20170214155712_v51.8"
8,"7038",1,"87304-20170214155712_v51.8"
211,"8728",18,"30202-20170214155712_v51.8"
189,"7014",4,"24302-20170214155712_v51.8"
219,"8502",8,"27702-20170214155712_v51.8"
-540,"7151",34,"27701-20170214155712_v51.8"
-183,"1090",43,"23301-20170214155712_v51.8"
-228,"1718",22,"00701-20170214155712_v51.8"
166,"8799",66,"00706-20170214155712_v51.8"
437,"7148",6,"24304-20170214155712_v51.8"
612,"8271",35,"23304-20170214155712_v51.8"
214,"8407",16,"25501-20170214155712_v51.8"
-463,"7029",49,"24802-20170214155712_v51.8"
198,"7168",4,"25802-20170214155712_v51.8"
542,"8418",13,"25804-20170214155712_v51.8"
201,"8112",11,"19512-20170214155712_v51.8"
74,"5841",1,"22401-20170214155712_v51.8"
373,"5273",22,"11501-20170214155712_v51.8"
-852,"5005",8,"07012-20170214155712_v51.8"
-809,"5912",29,"22304-20170214155712_v51.8"
557,"8241",27,"22201-20170214155712_v51.8"
-159,"1090",44,"22101-20170214155712_v51.8"
43,"8903",39,"25802-20170214155712_v51.8"
205,"8808",29,"23304-20170214155712_v51.8"
-9,"7818",67,"00702-20170214155712_v51.8"
8,"8728",18,"31202-20170214155712_v51.8"
395,"8310",18,"24902-20170214155712_v51.8"
87,"7099",2,"24902-20170214155712_v51.8"
-431,"8407",34,"26701-20170214155712_v51.8"
255,"8903",39,"25802-20170214155712_v51.8"
216,"7148",6,"23304-20170214155712_v51.8"
142,"7022",3,"24306-20170214155712_v51.8"
333,"8432",23,"26702-20170214155712_v51.8"
215,"8444",29,"26702-20170214155712_v51.8"
359,"8824",18,"23301-20170214155712_v51.8"
71,"7821",16,"00705-20170214155712_v51.8"
918,"8066",43,"00702-20170214155712_v51.8"
-130,"8291",15,"24901-20170214155712_v51.8"
371,"8688",38,"26704-20170214155712_v51.8"
1,"8519",8,"27401-20170214155712_v51.8"
212,"7146",3,"27402-20170214155712_v51.8"
433,"3566",58,"87901-20170214155712_v51.8"
705,"4018",19,"91302-20170214155712_v51.8"
66,"7136",9,"96202-20170214155712_v51.8"
430,"7036",6,"83902-20170214155712_v51.8"
-1186,"4632",39,"99204-20170214155712_v51.8"
228,"7201",2,"89104-20170214155712_v51.8"
373,"4229",11,"87004-20170214155712_v51.8"
1756,"8812",28,"01002-20170214155712_v51.8"
620,"8018",16,"00702-20170214155712_v51.8"
110,"1030",21,"74502-20170214155712_v51.8"
319,"8924",30,"24304-20170214155712_v51.8"
108,"7912",12,"53205-20170214155712_v51.8"
470,"7064",2,"60502-20170214155712_v51.8"
586,"8153",54,"00705-20170214155712_v51.8"
330,"7176",5,"30202-20170214155712_v51.8"
330,"7288",13,"24602-20170214155712_v51.8"
355,"8001",65,"00701-20170214155712_v51.8"
128,"8078",14,"02002-20170214155712_v51.8"
-412,"4223",9,"99204-20170214155712_v51.8"
298,"4223",9,"99104-20170214155712_v51.8"
1082,"1332",2,"86304-20170214155712_v51.8"
175,"3362",46,"85801-20170214155712_v51.8"
-19,"3262",26,"83902-20170214155712_v51.8"
160,"4151",19,"85802-20170214155712_v51.8"
53,"4214",25,"89102-20170214155712_v51.8"
558,"3652",7,"81302-20170214155712_v51.8"
-44,"7131",11,"79702-20170214155712_v51.8"
30,"7051",15,"79702-20170214155712_v51.8"
61,"7035",3,"79702-20170214155712_v51.8"
-462,"7054",8,"79702-20170214155712_v51.8"
-5,"7059",13,"79702-20170214155712_v51.8"
663,"7416",19,"62502-20170214155712_v51.8"
-8,"7821",1,"62501-20170214155712_v51.8"
77,"7397",4,"76701-20170214155712_v51.8"
333,"7180",8,"59502-20170214155712_v51.8"
713,"7109",65,"73102-20170214155712_v51.8"
199,"8700",15,"73102-20170214155712_v51.8"
317,"7193",64,"72101-20170214155712_v51.8"
1068,"8030",25,"72101-20170214155712_v51.8"
1708,"8050",37,"72101-20170214155712_v51.8"
865,"8708",17,"73102-20170214155712_v51.8"
1840,"8708",17,"73102-20170214155712_v51.8"
497,"8035",43,"73102-20170214155712_v51.8"
1619,"8034",28,"72101-20170214155712_v51.8"
1044,"7120",11,"72101-20170214155712_v51.8"
276,"7179",35,"79801-20170214155712_v51.8"
35,"7196",9,"79902-20170214155712_v51.8"
-108,"7208",12,"79902-20170214155712_v51.8"
296,"7228",20,"79801-20170214155712_v51.8"
38,"7211",16,"79801-20170214155712_v51.8"
276,"7193",29,"79801-20170214155712_v51.8"
265,"7216",23,"79902-20170214155712_v51.8"
-105,"7100",4,"79801-20170214155712_v51.8"
311,"7131",18,"79801-20170214155712_v51.8"
460,"7099",32,"79902-20170214155712_v51.8"
213,"7104",5,"79801-20170214155712_v51.8"
-284,"7616",19,"50502-20170214155712_v51.8"
10,"7201",30,"62501-20170214155712_v51.8"
134,"7831",40,"71902-20170214155712_v51.8"
541,"1323",51,"76901-20170214155712_v51.8"
310,"7341",32,"76901-20170214155712_v51.8"
8,"8014",8,"03001-20170214155712_v51.8"
68,"1745",26,"32102-20170214155712_v51.8"
-396,"1097",29,"32101-20170214155712_v51.8"
434,"7908",75,"75704-20170214155712_v51.8"
718,"7823",46,"75602-20170214155712_v51.8"
38,"7523",21,"59501-20170214155712_v51.8"
364,"8487",20,"02004-20170214155712_v51.8"
277,"7150",4,"62502-20170214155712_v51.8"
17,"8587",1,"01001-20170214155712_v51.8"
189,"7417",30,"77101-20170214155712_v51.8"
-360,"7821",39,"62502-20170214155712_v51.8"
249,"7879",17,"71902-20170214155712_v51.8"
265,"7185",43,"65501-20170214155712_v51.8"
30,"7816",6,"71901-20170214155712_v51.8"
271,"7400",12,"65502-20170214155712_v51.8"
172,"7419",20,"62501-20170214155712_v51.8"
147,"7200",11,"63502-20170214155712_v51.8"
675,"7524",37,"59502-20170214155712_v51.8"
-169,"7525",63,"71902-20170214155712_v51.8"
3,"8488",3,"02001-20170214155712_v51.8"
537,"7304",4,"75602-20170214155712_v51.8"
145,"7661",18,"70301-20170214155712_v51.8"
-376,"7329",68,"75703-20170214155712_v51.8"
187,"7184",3,"65502-20170214155712_v51.8"
577,"7816",22,"75703-20170214155712_v51.8"
149,"7838",9,"77001-20170214155712_v51.8"
10,"7755",3,"60501-20170214155712_v51.8"
10,"7239",49,"50502-20170214155712_v51.8"
145,"1771",40,"32202-20170214155712_v51.8"
252,"8406",10,"26702-20170214155712_v51.8"
-179,"7285",23,"25504-20170214155712_v51.8"
-188,"5278",34,"11302-20170214155712_v51.8"
308,"4448",31,"84301-20170214155712_v51.8"
-308,"3630",11,"87502-20170214155712_v51.8"
635,"7017",10,"88104-20170214155712_v51.8"
218,"4540",5,"98402-20170214155712_v51.8"
-590,"4702",55,"99204-20170214155712_v51.8"
34,"3353",6,"89102-20170214155712_v51.8"
353,"3144",20,"85004-20170214155712_v51.8"
-243,"3410",36,"89101-20170214155712_v51.8"
485,"7086",2,"95202-20170214155712_v51.8"
313,"1334",5,"87004-20170214155712_v51.8"
152,"4294",4,"88202-20170214155712_v51.8"
38,"4511",8,"98105-20170214155712_v51.8"
9,"3003",3,"87901-20170214155712_v51.8"
38,"4820",8,"98108-20170214155712_v51.8"
613,"1334",5,"85004-20170214155712_v51.8"
51,"4641",7,"98205-20170214155712_v51.8"
183,"1334",5,"85802-20170214155712_v51.8"
-60,"3630",2,"87302-20170214155712_v51.8"
-59,"4620",51,"98302-20170214155712_v51.8"
489,"4835",2,"98204-20170214155712_v51.8"
289,"8146",15,"10202-20170214155712_v51.8"
435,"5812",41,"09702-20170214155712_v51.8"
493,"8130",19,"15402-20170214155712_v51.8"
372,"8151",18,"22401-20170214155712_v51.8"
-179,"5473",17,"17204-20170214155712_v51.8"
63,"8863",18,"22301-20170214155712_v51.8"
-801,"7086",47,"22401-20170214155712_v51.8"
-106,"5290",39,"15302-20170214155712_v51.8"
494,"5385",66,"07902-20170214155712_v51.8"
9,"8104",7,"09702-20170214155712_v51.8"
-18,"7081",1,"15302-20170214155712_v51.8"
-131,"5698",49,"13502-20170214155712_v51.8"
322,"8146",26,"13502-20170214155712_v51.8"
1273,"5556",58,"13502-20170214155712_v51.8"
-48,"1324",1,"22402-20170214155712_v51.8"
-233,"8242",29,"22302-20170214155712_v51.8"
-727,"5535",14,"11012-20170214155712_v51.8"
-377,"8119",47,"19511-20170214155712_v51.8"
348,"8137",53,"13501-20170214155712_v51.8"
180,"7099",2,"22102-20170214155712_v51.8"
129,"3315",24,"82202-20170214155712_v51.8"
488,"7036",6,"82202-20170214155712_v51.8"
55,"3245",22,"86304-20170214155712_v51.8"
-2,"8449",2,"27701-20170214155712_v51.8"
95,"5039",23,"15301-20170214155712_v51.8"
-240,"7501",22,"32201-20170214155712_v51.8"
55,"8314",22,"23304-20170214155712_v51.8"
-28,"7168",4,"26704-20170214155712_v51.8"
493,"1090",54,"24901-20170214155712_v51.8"
197,"7058",43,"25801-20170214155712_v51.8"
-670,"5854",35,"08502-20170214155712_v51.8"
101,"7136",4,"13502-20170214155712_v51.8"
675,"1456",32,"22202-20170214155712_v51.8"
1206,"8556",48,"22202-20170214155712_v51.8"
-78,"7144",3,"50502-20170214155712_v51.8"
-119,"7620",23,"32202-20170214155712_v51.8"
1433,"7022",3,"24302-20170214155712_v51.8"
-90,"8116",12,"03006-20170214155712_v51.8"
319,"7699",19,"31201-20170214155712_v51.8"
349,"3221",19,"96202-20170214155712_v51.8"
-174,"8001",26,"00502-20170214155712_v51.8"
175,"7522",31,"53206-20170214155712_v51.8"
232,"8130",22,"01002-20170214155712_v51.8"
1579,"7063",28,"60501-20170214155712_v51.8"
260,"8866",17,"22402-20170214155712_v51.8"
185,"7159",5,"32202-20170214155712_v51.8"
344,"7006",71,"72101-20170214155712_v51.8"
715,"1090",3,"72101-20170214155712_v51.8"
1116,"8013",51,"73102-20170214155712_v51.8"
1515,"7107",66,"73102-20170214155712_v51.8"
655,"8146",33,"22402-20170214155712_v51.8"
283,"8866",17,"22202-20170214155712_v51.8"
65,"3212",28,"87502-20170214155712_v51.8"
-106,"4565",7,"98501-20170214155712_v51.8"
962,"7818",26,"71901-20170214155712_v51.8"
-51,"7705",20,"63501-20170214155712_v51.8"
115,"3021",13,"83901-20170214155712_v51.8"
138,"7168",6,"27402-20170214155712_v51.8"
558,"8249",3,"31006-20170214155712_v51.8"
-241,"1078",9,"79702-20170214155712_v51.8"
23,"7134",20,"79902-20170214155712_v51.8"
-291,"7105",31,"79902-20170214155712_v51.8"
-34,"7199",26,"79801-20170214155712_v51.8"
216,"7177",15,"79902-20170214155712_v51.8"
383,"8474",24,"31202-20170214155712_v51.8"
53,"7645",8,"32101-20170214155712_v51.8"
286,"8119",45,"04901-20170214155712_v51.8"
392,"7859",23,"77102-20170214155712_v51.8"
-904,"7038",69,"83901-20170214155712_v51.8"
-108,"3122",46,"83902-20170214155712_v51.8"
-24,"5910",1,"17004-20170214155712_v51.8"
85,"4834",8,"98601-20170214155712_v51.8"
-537,"4225",31,"87304-20170214155712_v51.8"
266,"3113",42,"87902-20170214155712_v51.8"
-11,"7015",30,"02001-20170214155712_v51.8"
15,"8516",15,"27402-20170214155712_v51.8"
-558,"7141",22,"27401-20170214155712_v51.8"
263,"8940",30,"27702-20170214155712_v51.8"
-273,"8518",16,"27402-20170214155712_v51.8"
-89,"7024",23,"27401-20170214155712_v51.8"
-54,"8530",21,"27402-20170214155712_v51.8"
64,"7147",7,"88104-20170214155712_v51.8"
327,"7017",10,"88104-20170214155712_v51.8"
783,"4229",17,"88104-20170214155712_v51.8"
926,"4063",13,"88104-20170214155712_v51.8"
119,"4078",15,"97604-20170214155712_v51.8"
40,"4037",12,"97401-20170214155712_v51.8"
352,"7034",4,"95302-20170214155712_v51.8"
307,"3777",37,"95504-20170214155712_v51.8"
432,"4106",20,"97502-20170214155712_v51.8"
328,"4206",29,"97202-20170214155712_v51.8"
458,"3739",10,"91504-20170214155712_v51.8"
87,"3777",15,"91503-20170214155712_v51.8"
-345,"3828",26,"95802-20170214155712_v51.8"
24,"7145",1,"97202-20170214155712_v51.8"
564,"4084",23,"96602-20170214155712_v51.8"
-122,"3973",44,"95702-20170214155712_v51.8"
456,"4024",13,"95504-20170214155712_v51.8"
1051,"4214",35,"95701-20170214155712_v51.8"
-112,"3777",15,"95501-20170214155712_v51.8"
55,"3776",23,"95701-20170214155712_v51.8"
589,"3579",13,"95702-20170214155712_v51.8"
-14,"3901",11,"97002-20170214155712_v51.8"
1,"1729",26,"97101-20170214155712_v51.8"
11,"3381",1,"97602-20170214155712_v51.8"
257,"4106",16,"97202-20170214155712_v51.8"
35,"4030",32,"97607-20170214155712_v51.8"
172,"3961",8,"96605-20170214155712_v51.8"
178,"3277",43,"97501-20170214155712_v51.8"
-6,"4078",7,"95502-20170214155712_v51.8"
480,"4210",12,"97406-20170214155712_v51.8"
