"delay","stop.id","stop.sequence","route"
10,"7774",7,"60501-20170214155712_v51.8"
-821,"7141",41,"32201-20170214155712_v51.8"
300,"8315",21,"23301-20170214155712_v51.8"
382,"7064",2,"30202-20170214155712_v51.8"
88,"7699",5,"01001-20170214155712_v51.8"
115,"7147",43,"26701-20170214155712_v51.8"
279,"1759",23,"75703-20170214155712_v51.8"
25,"8174",12,"39001-20170214155712_v51.8"
113,"1407",15,"25803-20170214155712_v51.8"
-124,"7627",20,"32101-20170214155712_v51.8"
151,"7470",31,"59502-20170214155712_v51.8"
-60,"7866",7,"71505-20170214155712_v51.8"
-4,"1626",2,"13902-20170214155712_v51.8"
164,"7453",18,"00705-20170214155712_v51.8"
37,"7910",11,"75703-20170214155712_v51.8"
105,"7110",3,"01002-20170214155712_v51.8"
66,"8396",13,"31201-20170214155712_v51.8"
-12,"7022",3,"24902-20170214155712_v51.8"
194,"8420",17,"26702-20170214155712_v51.8"
-16,"8289",9,"24803-20170214155712_v51.8"
433,"8644",21,"29902-20170214155712_v51.8"
199,"8099",57,"53206-20170214155712_v51.8"
10,"8963",16,"27701-20170214155712_v51.8"
-94,"8511",12,"27401-20170214155712_v51.8"
-78,"8668",34,"27702-20170214155712_v51.8"
-11,"8581",1,"31005-20170214155712_v51.8"
-88,"8519",8,"27401-20170214155712_v51.8"
-149,"8730",19,"31202-20170214155712_v51.8"
-47,"7151",41,"24801-20170214155712_v51.8"
-201,"8320",23,"24302-20170214155712_v51.8"
-125,"7105",41,"24301-20170214155712_v51.8"
768,"8725",23,"31201-20170214155712_v51.8"
613,"1411",32,"29901-20170214155712_v51.8"
-14,"3076",1,"85801-20170214155712_v51.8"
432,"3707",15,"89103-20170214155712_v51.8"
-356,"7141",22,"27401-20170214155712_v51.8"
233,"8431",22,"26703-20170214155712_v51.8"
-747,"7141",48,"32101-20170214155712_v51.8"
28,"7540",8,"74503-20170214155712_v51.8"
202,"7800",2,"52005-20170214155712_v51.8"
95,"7792",6,"50501-20170214155712_v51.8"
-208,"7600",12,"32202-20170214155712_v51.8"
-515,"8501",7,"26707-20170214155712_v51.8"
195,"4111",61,"87901-20170214155712_v51.8"
-118,"7063",42,"39001-20170214155712_v51.8"
111,"8151",3,"10201-20170214155712_v51.8"
176,"8277",22,"24909-20170214155712_v51.8"
-113,"7084",4,"02002-20170214155712_v51.8"
32,"7141",22,"27401-20170214155712_v51.8"
55,"7699",5,"30201-20170214155712_v51.8"
-302,"1315",6,"88103-20170214155712_v51.8"
-102,"3583",13,"89101-20170214155712_v51.8"
97,"7140",10,"88103-20170214155712_v51.8"
435,"5868",42,"22402-20170214155712_v51.8"
199,"7014",4,"22202-20170214155712_v51.8"
291,"4671",47,"99201-20170214155712_v51.8"
