"delay","stop.id","stop.sequence","route"
71,"8727",8,"30201-20170214155712_v51.8"
1155,"7292",16,"22202-20170214155712_v51.8"
-306,"3363",28,"89101-20170214155712_v51.8"
-158,"3213",34,"87501-20170214155712_v51.8"
225,"7310",7,"71902-20170214155712_v51.8"
94,"8422",7,"01102-20170214155712_v51.8"
225,"7968",76,"00708-20170214155712_v51.8"
-213,"2005",46,"32102-20170214155712_v51.8"
163,"7055",45,"31201-20170214155712_v51.8"
-50,"5973",33,"14501-20170214155712_v51.8"
-26,"8707",31,"31201-20170214155712_v51.8"
359,"7767",24,"77101-20170214155712_v51.8"
126,"8420",17,"25802-20170214155712_v51.8"
228,"8921",12,"25801-20170214155712_v51.8"
-418,"7167",31,"23301-20170214155712_v51.8"
136,"8714",13,"31202-20170214155712_v51.8"
69,"8883",9,"29901-20170214155712_v51.8"
-196,"8684",39,"26702-20170214155712_v51.8"
327,"8419",26,"25801-20170214155712_v51.8"
-285,"7149",20,"24601-20170214155712_v51.8"
48,"8696",33,"29902-20170214155712_v51.8"
-194,"7029",49,"24902-20170214155712_v51.8"
255,"8044",20,"23302-20170214155712_v51.8"
10,"7099",2,"23302-20170214155712_v51.8"
173,"8435",2,"25501-20170214155712_v51.8"
-407,"1079",64,"87901-20170214155712_v51.8"
390,"4501",4,"98402-20170214155712_v51.8"
-23,"7176",5,"30202-20170214155712_v51.8"
-471,"7086",52,"24901-20170214155712_v51.8"
-13,"7813",64,"75704-20170214155712_v51.8"
-20,"8202",10,"24902-20170214155712_v51.8"
-34,"5908",1,"23301-20170214155712_v51.8"
-170,"8505",20,"25501-20170214155712_v51.8"
-19,"7345",30,"76901-20170214155712_v51.8"
27,"7055",1,"39002-20170214155712_v51.8"
-205,"4711",54,"98302-20170214155712_v51.8"
-343,"8891",22,"03001-20170214155712_v51.8"
-133,"3015",62,"83902-20170214155712_v51.8"
172,"8866",17,"22402-20170214155712_v51.8"
71,"5914",28,"11501-20170214155712_v51.8"
-156,"1052",24,"03004-20170214155712_v51.8"
286,"7456",24,"59502-20170214155712_v51.8"
220,"8279",21,"24901-20170214155712_v51.8"
561,"8053",47,"00707-20170214155712_v51.8"
397,"1323",51,"76701-20170214155712_v51.8"
56,"8693",3,"26701-20170214155712_v51.8"
1100,"7972",52,"75703-20170214155712_v51.8"
102,"7800",2,"75703-20170214155712_v51.8"
114,"8589",41,"31202-20170214155712_v51.8"
-52,"7882",55,"71901-20170214155712_v51.8"
-109,"5074",26,"04902-20170214155712_v51.8"
-111,"5284",17,"11304-20170214155712_v51.8"
470,"8539",20,"22401-20170214155712_v51.8"
-97,"7149",42,"26701-20170214155712_v51.8"
45,"7128",2,"25502-20170214155712_v51.8"
34,"1441",14,"22101-20170214155712_v51.8"
-586,"5876",46,"22402-20170214155712_v51.8"
492,"5701",25,"08701-20170214155712_v51.8"
-17,"5855",5,"22401-20170214155712_v51.8"
-18,"8137",53,"15401-20170214155712_v51.8"
191,"5878",40,"13502-20170214155712_v51.8"
434,"8431",22,"26701-20170214155712_v51.8"
123,"8030",21,"00708-20170214155712_v51.8"
-32,"8069",38,"00707-20170214155712_v51.8"
52,"8500",5,"26702-20170214155712_v51.8"
89,"8410",12,"25502-20170214155712_v51.8"
110,"7058",45,"26701-20170214155712_v51.8"
51,"8319",4,"24601-20170214155712_v51.8"
14,"7285",26,"25502-20170214155712_v51.8"
-339,"8505",15,"27401-20170214155712_v51.8"
-107,"3148",34,"87502-20170214155712_v51.8"
117,"1097",20,"32102-20170214155712_v51.8"
234,"7540",14,"71901-20170214155712_v51.8"
647,"7523",21,"59501-20170214155712_v51.8"
-69,"1028",6,"50502-20170214155712_v51.8"
544,"3998",47,"85803-20170214155712_v51.8"
-135,"3568",25,"81301-20170214155712_v51.8"
-12,"7059",13,"79702-20170214155712_v51.8"
-216,"7052",7,"79702-20170214155712_v51.8"
-75,"1072",19,"79702-20170214155712_v51.8"
-97,"7054",8,"79702-20170214155712_v51.8"
-130,"1325",17,"79702-20170214155712_v51.8"
9,"7035",3,"79702-20170214155712_v51.8"
22,"8700",15,"73102-20170214155712_v51.8"
-117,"8033",44,"73102-20170214155712_v51.8"
453,"7006",1,"72101-20170214155712_v51.8"
140,"7203",60,"72101-20170214155712_v51.8"
254,"1051",53,"73102-20170214155712_v51.8"
413,"7113",63,"73102-20170214155712_v51.8"
287,"7023",3,"73102-20170214155712_v51.8"
-54,"1031",69,"72101-20170214155712_v51.8"
313,"8514",48,"72101-20170214155712_v51.8"
486,"7197",27,"79801-20170214155712_v51.8"
75,"7208",12,"79902-20170214155712_v51.8"
-40,"7099",32,"79902-20170214155712_v51.8"
34,"7192",7,"79902-20170214155712_v51.8"
-164,"7193",29,"79801-20170214155712_v51.8"
-354,"7109",29,"79902-20170214155712_v51.8"
160,"7135",17,"79801-20170214155712_v51.8"
-42,"7018",35,"79902-20170214155712_v51.8"
-100,"7052",3,"79801-20170214155712_v51.8"
173,"7104",5,"79801-20170214155712_v51.8"
281,"7180",9,"62502-20170214155712_v51.8"
155,"7055",32,"60601-20170214155712_v51.8"
-117,"7231",32,"62501-20170214155712_v51.8"
59,"7194",8,"63502-20170214155712_v51.8"
199,"7580",37,"65502-20170214155712_v51.8"
-377,"7631",18,"32101-20170214155712_v51.8"
-363,"1323",39,"74501-20170214155712_v51.8"
57,"7219",7,"01002-20170214155712_v51.8"
-226,"7531",60,"71902-20170214155712_v51.8"
370,"7419",24,"63501-20170214155712_v51.8"
150,"8853",9,"01001-20170214155712_v51.8"
668,"1410",25,"75703-20170214155712_v51.8"
-164,"4065",5,"88103-20170214155712_v51.8"
153,"4738",10,"98205-20170214155712_v51.8"
63,"3096",12,"87901-20170214155712_v51.8"
93,"4817",10,"98105-20170214155712_v51.8"
-28,"7132",5,"02002-20170214155712_v51.8"
-176,"8491",28,"02002-20170214155712_v51.8"
-93,"3353",15,"85804-20170214155712_v51.8"
-329,"4783",46,"98301-20170214155712_v51.8"
-202,"1028",14,"88103-20170214155712_v51.8"
-122,"4846",15,"98601-20170214155712_v51.8"
13,"3515",8,"87902-20170214155712_v51.8"
31,"8085",10,"02001-20170214155712_v51.8"
-51,"3596",19,"89102-20170214155712_v51.8"
26,"4565",7,"98501-20170214155712_v51.8"
-269,"3076",65,"87902-20170214155712_v51.8"
-14,"5854",2,"11303-20170214155712_v51.8"
-109,"8213",40,"22201-20170214155712_v51.8"
66,"5768",9,"13501-20170214155712_v51.8"
-28,"5814",28,"15402-20170214155712_v51.8"
250,"7087",68,"08701-20170214155712_v51.8"
168,"5698",42,"08702-20170214155712_v51.8"
-16,"8119",60,"13501-20170214155712_v51.8"
-111,"5499",63,"15302-20170214155712_v51.8"
8,"5854",26,"14902-20170214155712_v51.8"
33,"5310",30,"14901-20170214155712_v51.8"
-392,"7086",47,"22401-20170214155712_v51.8"
-186,"5083",31,"04901-20170214155712_v51.8"
565,"7087",57,"11501-20170214155712_v51.8"
45,"5213",13,"17201-20170214155712_v51.8"
127,"7146",5,"22102-20170214155712_v51.8"
342,"4672",7,"98204-20170214155712_v51.8"
-433,"3462",25,"81302-20170214155712_v51.8"
232,"3568",4,"84302-20170214155712_v51.8"
23,"7821",1,"62501-20170214155712_v51.8"
-136,"8607",35,"32101-20170214155712_v51.8"
9,"7149",40,"25801-20170214155712_v51.8"
45,"7081",1,"15302-20170214155712_v51.8"
-179,"8130",19,"11502-20170214155712_v51.8"
