"delay","stop.id","stop.sequence","route"
-172,"7055",31,"60501-20170214155712_v51.8"
243,"1028",6,"32202-20170214155712_v51.8"
196,"7105",44,"23301-20170214155712_v51.8"
23,"8581",1,"30201-20170214155712_v51.8"
8,"8117",39,"01001-20170214155712_v51.8"
119,"7709",4,"30201-20170214155712_v51.8"
-92,"8910",35,"25802-20170214155712_v51.8"
151,"7331",67,"75703-20170214155712_v51.8"
-235,"7171",40,"39001-20170214155712_v51.8"
43,"7058",40,"25803-20170214155712_v51.8"
1,"5306",28,"14901-20170214155712_v51.8"
218,"8309",9,"24601-20170214155712_v51.8"
526,"7149",9,"26707-20170214155712_v51.8"
191,"7251",30,"77002-20170214155712_v51.8"
-234,"5881",32,"14501-20170214155712_v51.8"
80,"8607",35,"32101-20170214155712_v51.8"
11,"7257",9,"74501-20170214155712_v51.8"
-449,"8409",33,"26701-20170214155712_v51.8"
91,"7051",21,"02003-20170214155712_v51.8"
317,"7388",30,"02157-20170214155712_v51.8"
191,"7302",3,"71902-20170214155712_v51.8"
2,"1626",2,"13902-20170214155712_v51.8"
392,"7846",13,"01457-20170214155712_v51.8"
234,"8609",33,"29901-20170214155712_v51.8"
331,"8472",16,"31201-20170214155712_v51.8"
129,"8269",19,"24805-20170214155712_v51.8"
474,"8295",13,"24909-20170214155712_v51.8"
471,"1097",40,"00705-20170214155712_v51.8"
295,"8064",7,"00753-20170214155712_v51.8"
-326,"7972",52,"75703-20170214155712_v51.8"
327,"7201",37,"31201-20170214155712_v51.8"
233,"7727",10,"01757-20170214155712_v51.8"
133,"8834",39,"01002-20170214155712_v51.8"
-178,"7401",29,"62501-20170214155712_v51.8"
61,"8538",22,"70302-20170214155712_v51.8"
199,"8124",16,"03002-20170214155712_v51.8"
-494,"7151",41,"31201-20170214155712_v51.8"
119,"8906",5,"24805-20170214155712_v51.8"
607,"8407",32,"25801-20170214155712_v51.8"
57,"8909",6,"25801-20170214155712_v51.8"
120,"8928",31,"24902-20170214155712_v51.8"
153,"8376",3,"31201-20170214155712_v51.8"
153,"8451",5,"09951-20170214155712_v51.8"
-251,"7151",28,"24803-20170214155712_v51.8"
22,"5908",1,"24305-20170214155712_v51.8"
-346,"8401",19,"25501-20170214155712_v51.8"
18,"8355",1,"24803-20170214155712_v51.8"
106,"8445",15,"26709-20170214155712_v51.8"
402,"8663",14,"09951-20170214155712_v51.8"
818,"8265",21,"24805-20170214155712_v51.8"
108,"7376",18,"76801-20170214155712_v51.8"
56,"8899",7,"02003-20170214155712_v51.8"
464,"7812",20,"75703-20170214155712_v51.8"
-11,"7447",6,"62501-20170214155712_v51.8"
175,"3098",9,"03155-20170214155712_v51.8"
175,"3012",7,"03351-20170214155712_v51.8"
-747,"7024",39,"27701-20170214155712_v51.8"
-68,"7201",23,"30201-20170214155712_v51.8"
47,"8521",7,"27401-20170214155712_v51.8"
