"delay","stop.id","stop.sequence","route"
-276,"5356",15,"07011-20170214155712_v51.8"
144,"7409",18,"60501-20170214155712_v51.8"
-431,"1338",42,"32201-20170214155712_v51.8"
-14,"8301",32,"23301-20170214155712_v51.8"
152,"7202",7,"30202-20170214155712_v51.8"
-2,"8835",18,"01001-20170214155712_v51.8"
0,"7160",3,"25802-20170214155712_v51.8"
138,"7948",42,"75703-20170214155712_v51.8"
-121,"8198",23,"39001-20170214155712_v51.8"
-146,"8417",27,"25803-20170214155712_v51.8"
-7,"5394",7,"14901-20170214155712_v51.8"
95,"5335",11,"14501-20170214155712_v51.8"
-149,"8069",27,"32101-20170214155712_v51.8"
12,"7530",40,"59502-20170214155712_v51.8"
60,"8689",5,"26701-20170214155712_v51.8"
3,"8089",8,"02003-20170214155712_v51.8"
-129,"7888",18,"71505-20170214155712_v51.8"
108,"8938",11,"29901-20170214155712_v51.8"
360,"7427",31,"00705-20170214155712_v51.8"
89,"7814",21,"75703-20170214155712_v51.8"
672,"8396",13,"31201-20170214155712_v51.8"
89,"8120",17,"01002-20170214155712_v51.8"
90,"7447",6,"62501-20170214155712_v51.8"
178,"8723",24,"31201-20170214155712_v51.8"
620,"8906",5,"25801-20170214155712_v51.8"
86,"7166",8,"24902-20170214155712_v51.8"
89,"8672",33,"26702-20170214155712_v51.8"
-149,"8931",18,"24803-20170214155712_v51.8"
-422,"8501",7,"26707-20170214155712_v51.8"
525,"8884",35,"29902-20170214155712_v51.8"
185,"8282",11,"24805-20170214155712_v51.8"
189,"7800",2,"75703-20170214155712_v51.8"
-94,"8513",27,"27701-20170214155712_v51.8"
158,"8738",3,"30201-20170214155712_v51.8"
-644,"7145",21,"27401-20170214155712_v51.8"
-291,"7167",13,"24601-20170214155712_v51.8"
-17,"8390",10,"31005-20170214155712_v51.8"
-469,"8501",17,"27401-20170214155712_v51.8"
-267,"8385",34,"31202-20170214155712_v51.8"
287,"1088",46,"24801-20170214155712_v51.8"
115,"7064",2,"31202-20170214155712_v51.8"
70,"8924",31,"24302-20170214155712_v51.8"
744,"8701",33,"31201-20170214155712_v51.8"
51,"8057",12,"00702-20170214155712_v51.8"
382,"7171",40,"29901-20170214155712_v51.8"
39,"3107",14,"85801-20170214155712_v51.8"
151,"3363",23,"89103-20170214155712_v51.8"
-56,"3099",9,"86003-20170214155712_v51.8"
-181,"8974",35,"26703-20170214155712_v51.8"
170,"7273",25,"74503-20170214155712_v51.8"
351,"7912",12,"52005-20170214155712_v51.8"
210,"7804",18,"50501-20170214155712_v51.8"
-741,"7622",24,"32202-20170214155712_v51.8"
-754,"7058",12,"26707-20170214155712_v51.8"
-456,"7091",65,"87901-20170214155712_v51.8"
128,"7064",2,"29902-20170214155712_v51.8"
182,"8550",12,"10201-20170214155712_v51.8"
168,"8931",25,"24909-20170214155712_v51.8"
286,"8677",10,"26701-20170214155712_v51.8"
19,"7304",4,"74502-20170214155712_v51.8"
-60,"8082",16,"02002-20170214155712_v51.8"
348,"7024",23,"27401-20170214155712_v51.8"
-226,"8703",18,"30201-20170214155712_v51.8"
-17,"7140",10,"88103-20170214155712_v51.8"
-353,"3713",23,"89101-20170214155712_v51.8"
-90,"7178",16,"88103-20170214155712_v51.8"
