"delay","stop.id","stop.sequence","route"
-347,"8724",17,"30202-20170214155712_v51.8"
129,"3243",41,"83901-20170214155712_v51.8"
34,"5975",1,"13902-20170214155712_v51.8"
214,"7624",29,"32102-20170214155712_v51.8"
238,"8479",25,"01102-20170214155712_v51.8"
-587,"5973",33,"14501-20170214155712_v51.8"
142,"8499",24,"25502-20170214155712_v51.8"
-328,"7208",8,"39002-20170214155712_v51.8"
-217,"8389",32,"31202-20170214155712_v51.8"
197,"7916",14,"75703-20170214155712_v51.8"
-21,"7170",4,"31202-20170214155712_v51.8"
84,"8900",2,"25801-20170214155712_v51.8"
465,"7149",40,"25801-20170214155712_v51.8"
-45,"8368",4,"24901-20170214155712_v51.8"
208,"8418",16,"26702-20170214155712_v51.8"
193,"8626",13,"29902-20170214155712_v51.8"
-148,"8244",24,"39001-20170214155712_v51.8"
244,"8319",33,"24901-20170214155712_v51.8"
165,"7168",4,"25802-20170214155712_v51.8"
54,"7014",4,"24902-20170214155712_v51.8"
105,"7128",2,"26702-20170214155712_v51.8"
80,"8390",10,"31201-20170214155712_v51.8"
171,"7164",3,"60602-20170214155712_v51.8"
244,"8272",8,"23301-20170214155712_v51.8"
22,"7099",2,"23302-20170214155712_v51.8"
93,"8924",33,"23302-20170214155712_v51.8"
326,"8641",23,"29901-20170214155712_v51.8"
28,"4709",1,"98203-20170214155712_v51.8"
-83,"7084",3,"03002-20170214155712_v51.8"
-162,"7133",26,"03001-20170214155712_v51.8"
359,"7014",4,"23302-20170214155712_v51.8"
121,"7166",8,"24302-20170214155712_v51.8"
-55,"7773",15,"60601-20170214155712_v51.8"
538,"7605",45,"59501-20170214155712_v51.8"
-525,"7615",26,"32101-20170214155712_v51.8"
274,"7406",15,"63502-20170214155712_v51.8"
-5,"5518",9,"15401-20170214155712_v51.8"
-907,"7086",41,"23301-20170214155712_v51.8"
242,"8406",10,"25502-20170214155712_v51.8"
-406,"7149",42,"26701-20170214155712_v51.8"
68,"7416",19,"62502-20170214155712_v51.8"
98,"8365",57,"24902-20170214155712_v51.8"
122,"3354",22,"85804-20170214155712_v51.8"
7,"3227",23,"84302-20170214155712_v51.8"
-24,"7015",1,"02002-20170214155712_v51.8"
220,"8612",8,"32102-20170214155712_v51.8"
-85,"7105",55,"24901-20170214155712_v51.8"
311,"7422",53,"00708-20170214155712_v51.8"
-3,"5777",47,"13502-20170214155712_v51.8"
48,"8334",17,"22101-20170214155712_v51.8"
23,"5166",22,"17004-20170214155712_v51.8"
85,"8212",14,"22102-20170214155712_v51.8"
-26,"8861",34,"22401-20170214155712_v51.8"
-199,"8119",60,"15401-20170214155712_v51.8"
149,"7168",4,"26702-20170214155712_v51.8"
284,"5521",11,"11303-20170214155712_v51.8"
360,"5098",41,"08701-20170214155712_v51.8"
88,"7148",6,"22302-20170214155712_v51.8"
78,"8143",34,"11501-20170214155712_v51.8"
-439,"7029",41,"25802-20170214155712_v51.8"
26,"7149",24,"25501-20170214155712_v51.8"
11,"7961",10,"00707-20170214155712_v51.8"
394,"7203",36,"31201-20170214155712_v51.8"
203,"8439",18,"26701-20170214155712_v51.8"
-399,"8020",70,"00707-20170214155712_v51.8"
-221,"8266",27,"24902-20170214155712_v51.8"
-191,"3410",36,"89101-20170214155712_v51.8"
161,"1024",15,"02002-20170214155712_v51.8"
-48,"3306",14,"87902-20170214155712_v51.8"
657,"8015",22,"03004-20170214155712_v51.8"
-42,"8492",1,"02001-20170214155712_v51.8"
-34,"1323",67,"71901-20170214155712_v51.8"
-256,"4111",57,"85803-20170214155712_v51.8"
-8,"3465",7,"81301-20170214155712_v51.8"
-201,"4229",17,"88104-20170214155712_v51.8"
75,"1325",17,"79702-20170214155712_v51.8"
23,"1078",9,"79702-20170214155712_v51.8"
34,"1061",1,"79702-20170214155712_v51.8"
31,"7061",12,"79702-20170214155712_v51.8"
291,"7524",37,"59502-20170214155712_v51.8"
279,"7865",25,"71902-20170214155712_v51.8"
57,"7408",4,"77102-20170214155712_v51.8"
-151,"1404",28,"73102-20170214155712_v51.8"
37,"8491",54,"73102-20170214155712_v51.8"
55,"8492",17,"72101-20170214155712_v51.8"
101,"7187",67,"72101-20170214155712_v51.8"
-69,"7107",66,"73102-20170214155712_v51.8"
