"delay","stop.id","stop.sequence","route"
-218,"5010",9,"17201-20170214155712_v51.8"
1040,"8183",27,"39002-20170214155712_v51.8"
42,"7644",36,"51502-20170214155712_v51.8"
438,"7622",28,"32102-20170214155712_v51.8"
594,"4308",44,"22102-20170214155712_v51.8"
234,"8044",52,"00705-20170214155712_v51.8"
242,"7085",25,"02001-20170214155712_v51.8"
-14,"8899",7,"02001-20170214155712_v51.8"
444,"1420",59,"59501-20170214155712_v51.8"
-88,"7560",24,"71901-20170214155712_v51.8"
119,"8088",19,"02002-20170214155712_v51.8"
20,"7080",2,"02002-20170214155712_v51.8"
-531,"8589",26,"30202-20170214155712_v51.8"
-31,"8532",22,"27402-20170214155712_v51.8"
-737,"7055",31,"30201-20170214155712_v51.8"
66,"8409",33,"26701-20170214155712_v51.8"
-211,"7055",45,"31201-20170214155712_v51.8"
298,"7158",5,"27402-20170214155712_v51.8"
-176,"8714",13,"31202-20170214155712_v51.8"
-13,"8500",5,"25802-20170214155712_v51.8"
-856,"8589",26,"30202-20170214155712_v51.8"
56,"8645",22,"29901-20170214155712_v51.8"
-49,"8516",15,"27402-20170214155712_v51.8"
390,"7455",17,"00709-20170214155712_v51.8"
195,"8430",22,"25802-20170214155712_v51.8"
805,"8318",24,"23302-20170214155712_v51.8"
65,"4767",26,"98301-20170214155712_v51.8"
184,"4501",4,"98108-20170214155712_v51.8"
74,"7166",8,"23302-20170214155712_v51.8"
-391,"7612",18,"51502-20170214155712_v51.8"
-495,"7631",18,"32103-20170214155712_v51.8"
-162,"3383",24,"81301-20170214155712_v51.8"
444,"8729",21,"31201-20170214155712_v51.8"
98,"7164",3,"30202-20170214155712_v51.8"
746,"7450",64,"00706-20170214155712_v51.8"
214,"4839",7,"98302-20170214155712_v51.8"
145,"8907",45,"24802-20170214155712_v51.8"
309,"7527",62,"71902-20170214155712_v51.8"
434,"7139",41,"29902-20170214155712_v51.8"
1738,"8099",66,"51502-20170214155712_v51.8"
955,"7396",79,"00706-20170214155712_v51.8"
-82,"5374",51,"04902-20170214155712_v51.8"
-482,"8203",44,"22201-20170214155712_v51.8"
416,"8212",14,"22002-20170214155712_v51.8"
-99,"5757",59,"09702-20170214155712_v51.8"
-26,"5814",28,"15402-20170214155712_v51.8"
53,"3326",28,"87304-20170214155712_v51.8"
279,"7999",25,"23301-20170214155712_v51.8"
-704,"7147",36,"27701-20170214155712_v51.8"
152,"8278",34,"24902-20170214155712_v51.8"
-52,"8532",22,"27702-20170214155712_v51.8"
496,"8584",42,"25802-20170214155712_v51.8"
111,"8410",12,"25802-20170214155712_v51.8"
29,"8887",3,"27701-20170214155712_v51.8"
303,"8224",20,"22402-20170214155712_v51.8"
192,"5431",16,"15301-20170214155712_v51.8"
52,"5910",1,"17004-20170214155712_v51.8"
-160,"5925",55,"15302-20170214155712_v51.8"
-271,"5841",25,"14902-20170214155712_v51.8"
244,"5818",30,"13502-20170214155712_v51.8"
71,"8130",20,"04902-20170214155712_v51.8"
386,"8430",22,"26702-20170214155712_v51.8"
159,"8502",6,"26702-20170214155712_v51.8"
62,"7022",3,"24802-20170214155712_v51.8"
49,"8922",30,"24302-20170214155712_v51.8"
402,"7167",42,"24901-20170214155712_v51.8"
13,"7105",44,"23301-20170214155712_v51.8"
485,"8914",33,"25802-20170214155712_v51.8"
398,"7139",43,"26702-20170214155712_v51.8"
248,"8407",32,"25801-20170214155712_v51.8"
128,"8418",16,"26702-20170214155712_v51.8"
-344,"8424",19,"25502-20170214155712_v51.8"
-164,"5908",43,"24302-20170214155712_v51.8"
236,"8365",57,"24902-20170214155712_v51.8"
394,"7151",41,"29901-20170214155712_v51.8"
208,"7201",37,"39001-20170214155712_v51.8"
84,"8736",2,"30201-20170214155712_v51.8"
272,"8291",15,"24901-20170214155712_v51.8"
272,"7036",6,"87502-20170214155712_v51.8"
213,"3221",9,"87004-20170214155712_v51.8"
64,"3159",11,"87501-20170214155712_v51.8"
67,"1323",1,"76702-20170214155712_v51.8"
348,"7807",51,"51502-20170214155712_v51.8"
33,"8191",23,"39002-20170214155712_v51.8"
-559,"4641",31,"98801-20170214155712_v51.8"
-1080,"4608",51,"99204-20170214155712_v51.8"
408,"7091",68,"83901-20170214155712_v51.8"
-35,"3245",30,"85802-20170214155712_v51.8"
274,"3785",28,"91302-20170214155712_v51.8"
-105,"3174",15,"76004-20170214155712_v51.8"
-70,"7131",11,"79702-20170214155712_v51.8"
-141,"7049",16,"79702-20170214155712_v51.8"
89,"7004",4,"79702-20170214155712_v51.8"
-471,"7131",11,"79702-20170214155712_v51.8"
-401,"1072",19,"79702-20170214155712_v51.8"
296,"8538",17,"62502-20170214155712_v51.8"
-211,"7544",47,"59502-20170214155712_v51.8"
93,"7816",6,"52501-20170214155712_v51.8"
948,"7088",2,"73102-20170214155712_v51.8"
430,"1404",28,"73102-20170214155712_v51.8"
-244,"7110",6,"72101-20170214155712_v51.8"
1046,"8411",41,"72101-20170214155712_v51.8"
2682,"8046",35,"72101-20170214155712_v51.8"
145,"8868",38,"73102-20170214155712_v51.8"
238,"1049",52,"73102-20170214155712_v51.8"
-173,"7107",66,"73102-20170214155712_v51.8"
1973,"8415",39,"72101-20170214155712_v51.8"
183,"8413",40,"72101-20170214155712_v51.8"
38,"7134",20,"79902-20170214155712_v51.8"
72,"7222",26,"79902-20170214155712_v51.8"
94,"7016",1,"79801-20170214155712_v51.8"
-19,"7231",16,"79902-20170214155712_v51.8"
317,"7135",17,"79801-20170214155712_v51.8"
759,"7018",35,"79902-20170214155712_v51.8"
150,"7180",23,"79801-20170214155712_v51.8"
107,"7198",10,"79902-20170214155712_v51.8"
98,"7107",30,"79902-20170214155712_v51.8"
146,"7100",4,"79801-20170214155712_v51.8"
118,"7191",30,"79801-20170214155712_v51.8"
484,"7821",39,"62502-20170214155712_v51.8"
117,"7979",25,"75602-20170214155712_v51.8"
-103,"7028",46,"65501-20170214155712_v51.8"
-20,"7485",24,"59501-20170214155712_v51.8"
-409,"7305",57,"75601-20170214155712_v51.8"
86,"8042",31,"00714-20170214155712_v51.8"
20,"1408",35,"63502-20170214155712_v51.8"
193,"7309",47,"76701-20170214155712_v51.8"
99,"7851",30,"71902-20170214155712_v51.8"
16,"7344",1,"76901-20170214155712_v51.8"
-214,"7327",39,"76901-20170214155712_v51.8"
-171,"7179",26,"70301-20170214155712_v51.8"
-2,"7180",6,"60502-20170214155712_v51.8"
43,"7192",7,"63502-20170214155712_v51.8"
12,"7791",5,"60501-20170214155712_v51.8"
417,"7247",24,"74501-20170214155712_v51.8"
238,"1028",6,"32202-20170214155712_v51.8"
415,"8640",20,"29902-20170214155712_v51.8"
