"delay","stop.id","stop.sequence","route"
436,"5344",29,"14902-20170214155712_v51.8"
294,"8200",9,"22302-20170214155712_v51.8"
5,"7076",1,"15012-20170214155712_v51.8"
2075,"7034",11,"89104-20170214155712_v51.8"
154,"8708",11,"30202-20170214155712_v51.8"
567,"7128",2,"25502-20170214155712_v51.8"
337,"8709",16,"30201-20170214155712_v51.8"
22,"7055",1,"39002-20170214155712_v51.8"
644,"5860",35,"14501-20170214155712_v51.8"
-50,"1603",14,"32201-20170214155712_v51.8"
-49,"5914",20,"17201-20170214155712_v51.8"
-30,"1323",1,"76702-20170214155712_v51.8"
1326,"8066",43,"00706-20170214155712_v51.8"
457,"7923",54,"75602-20170214155712_v51.8"
171,"8118",16,"01002-20170214155712_v51.8"
6,"7086",52,"24901-20170214155712_v51.8"
626,"8029",31,"01001-20170214155712_v51.8"
207,"7176",5,"29902-20170214155712_v51.8"
374,"7302",3,"74502-20170214155712_v51.8"
623,"7177",52,"59501-20170214155712_v51.8"
199,"7217",12,"02002-20170214155712_v51.8"
261,"7084",4,"02004-20170214155712_v51.8"
690,"8420",17,"25502-20170214155712_v51.8"
-81,"8188",18,"39001-20170214155712_v51.8"
217,"7168",4,"25502-20170214155712_v51.8"
-192,"8451",36,"27702-20170214155712_v51.8"
364,"7151",41,"29901-20170214155712_v51.8"
346,"7170",4,"39002-20170214155712_v51.8"
307,"8433",3,"25501-20170214155712_v51.8"
133,"8316",21,"24602-20170214155712_v51.8"
697,"8648",23,"29902-20170214155712_v51.8"
155,"7139",25,"26700-20170214155712_v51.8"
-40,"7139",41,"29902-20170214155712_v51.8"
-538,"8532",22,"27402-20170214155712_v51.8"
135,"8426",20,"26702-20170214155712_v51.8"
313,"8416",15,"26702-20170214155712_v51.8"
374,"7302",3,"76702-20170214155712_v51.8"
434,"7873",20,"71902-20170214155712_v51.8"
904,"8314",20,"24802-20170214155712_v51.8"
335,"7055",1,"31006-20170214155712_v51.8"
256,"7022",3,"24304-20170214155712_v51.8"
-209,"7285",23,"25504-20170214155712_v51.8"
-9,"8413",31,"26701-20170214155712_v51.8"
673,"7201",37,"39001-20170214155712_v51.8"
118,"5022",16,"15012-20170214155712_v51.8"
420,"7014",4,"24804-20170214155712_v51.8"
233,"8388",9,"31201-20170214155712_v51.8"
97,"8416",15,"25502-20170214155712_v51.8"
-312,"8532",22,"27402-20170214155712_v51.8"
321,"7148",4,"27402-20170214155712_v51.8"
1153,"8018",16,"00706-20170214155712_v51.8"
84,"7128",2,"26704-20170214155712_v51.8"
582,"8324",13,"24804-20170214155712_v51.8"
-73,"8037",56,"00705-20170214155712_v51.8"
261,"3547",9,"87902-20170214155712_v51.8"
150,"4540",52,"98301-20170214155712_v51.8"
-65,"7091",9,"82001-20170214155712_v51.8"
865,"8247",17,"39002-20170214155712_v51.8"
29,"7345",1,"00705-20170214155712_v51.8"
650,"7430",26,"62502-20170214155712_v51.8"
404,"7150",4,"52006-20170214155712_v51.8"
424,"7412",6,"77002-20170214155712_v51.8"
513,"7324",13,"75602-20170214155712_v51.8"
144,"7282",5,"32102-20170214155712_v51.8"
-34,"8516",15,"27402-20170214155712_v51.8"
348,"7358",9,"76901-20170214155712_v51.8"
166,"3416",3,"81302-20170214155712_v51.8"
145,"5860",59,"04902-20170214155712_v51.8"
199,"8404",9,"25502-20170214155712_v51.8"
430,"8712",12,"31202-20170214155712_v51.8"
91,"8029",51,"00701-20170214155712_v51.8"
434,"8500",7,"27402-20170214155712_v51.8"
302,"7227",5,"88104-20170214155712_v51.8"
332,"3345",38,"87501-20170214155712_v51.8"
227,"8925",12,"23301-20170214155712_v51.8"
-217,"7344",23,"76702-20170214155712_v51.8"
137,"3164",30,"87902-20170214155712_v51.8"
4,"4063",6,"99204-20170214155712_v51.8"
203,"7038",1,"85004-20170214155712_v51.8"
-388,"8117",46,"04901-20170214155712_v51.8"
850,"1332",2,"76004-20170214155712_v51.8"
-9,"3353",8,"86304-20170214155712_v51.8"
463,"5867",38,"14901-20170214155712_v51.8"
76,"1097",20,"32102-20170214155712_v51.8"
158,"7064",3,"25800-20170214155712_v51.8"
22,"1338",1,"32202-20170214155712_v51.8"
1252,"7227",45,"50501-20170214155712_v51.8"
405,"5098",41,"08701-20170214155712_v51.8"
612,"8214",15,"22302-20170214155712_v51.8"
90,"7099",2,"22102-20170214155712_v51.8"
533,"8142",24,"11502-20170214155712_v51.8"
836,"7162",7,"22302-20170214155712_v51.8"
306,"5938",12,"15304-20170214155712_v51.8"
70,"8114",12,"08502-20170214155712_v51.8"
-382,"8117",61,"15401-20170214155712_v51.8"
303,"7087",71,"15301-20170214155712_v51.8"
156,"5074",26,"04902-20170214155712_v51.8"
172,"8561",5,"10202-20170214155712_v51.8"
984,"4137",11,"76004-20170214155712_v51.8"
601,"1406",15,"24302-20170214155712_v51.8"
-318,"8948",26,"27702-20170214155712_v51.8"
-135,"7024",39,"27701-20170214155712_v51.8"
