"delay","stop.id","stop.sequence","route"
-207,"8165",37,"39002-20170214155712_v51.8"
-244,"7151",41,"29901-20170214155712_v51.8"
45,"7128",2,"26702-20170214155712_v51.8"
89,"7197",37,"65501-20170214155712_v51.8"
50,"8704",10,"30202-20170214155712_v51.8"
37,"7099",2,"24902-20170214155712_v51.8"
79,"8451",36,"27702-20170214155712_v51.8"
107,"8689",5,"26701-20170214155712_v51.8"
449,"8409",31,"25801-20170214155712_v51.8"
-309,"8507",30,"27701-20170214155712_v51.8"
-158,"8532",22,"27402-20170214155712_v51.8"
16,"5379",7,"04901-20170214155712_v51.8"
120,"5146",17,"17001-20170214155712_v51.8"
-136,"8112",12,"04902-20170214155712_v51.8"
-124,"8144",25,"13602-20170214155712_v51.8"
109,"8504",9,"27702-20170214155712_v51.8"
-240,"8416",15,"25502-20170214155712_v51.8"
-119,"8703",18,"30201-20170214155712_v51.8"
460,"8281",38,"24902-20170214155712_v51.8"
-343,"8301",32,"23301-20170214155712_v51.8"
130,"8286",20,"24901-20170214155712_v51.8"
364,"8300",14,"23302-20170214155712_v51.8"
720,"7024",23,"27401-20170214155712_v51.8"
102,"8602",7,"29902-20170214155712_v51.8"
226,"8499",24,"25802-20170214155712_v51.8"
343,"3156",35,"83902-20170214155712_v51.8"
196,"3147",33,"87901-20170214155712_v51.8"
-68,"8084",17,"02002-20170214155712_v51.8"
-286,"7998",40,"51502-20170214155712_v51.8"
96,"7064",2,"31202-20170214155712_v51.8"
301,"4750",17,"98206-20170214155712_v51.8"
-320,"7091",52,"87501-20170214155712_v51.8"
-406,"1072",19,"79702-20170214155712_v51.8"
197,"7004",4,"79702-20170214155712_v51.8"
-46,"7131",11,"79702-20170214155712_v51.8"
-62,"7035",3,"79702-20170214155712_v51.8"
-227,"1084",10,"79702-20170214155712_v51.8"
-15,"7051",15,"79702-20170214155712_v51.8"
317,"7147",56,"59501-20170214155712_v51.8"
-48,"8492",17,"72101-20170214155712_v51.8"
-414,"7185",68,"72101-20170214155712_v51.8"
8,"7006",71,"72101-20170214155712_v51.8"
-73,"8017",49,"73102-20170214155712_v51.8"
-458,"1079",67,"73102-20170214155712_v51.8"
-36,"7208",12,"79902-20170214155712_v51.8"
418,"7185",33,"79801-20170214155712_v51.8"
401,"7212",21,"79902-20170214155712_v51.8"
51,"7112",9,"79801-20170214155712_v51.8"
682,"7141",37,"62501-20170214155712_v51.8"
105,"7422",24,"65502-20170214155712_v51.8"
-434,"7085",27,"03001-20170214155712_v51.8"
377,"7460",26,"59502-20170214155712_v51.8"
-151,"7085",25,"02001-20170214155712_v51.8"
1311,"7354",7,"76901-20170214155712_v51.8"
-393,"7171",40,"31201-20170214155712_v51.8"
54,"5523",12,"11503-20170214155712_v51.8"
-108,"3111",46,"87502-20170214155712_v51.8"
164,"1334",5,"85802-20170214155712_v51.8"
34,"4111",64,"83901-20170214155712_v51.8"
53,"3075",12,"85801-20170214155712_v51.8"
24,"3306",14,"87902-20170214155712_v51.8"
-140,"4788",20,"98106-20170214155712_v51.8"
182,"5841",74,"15402-20170214155712_v51.8"
-32,"5009",20,"17202-20170214155712_v51.8"
284,"8212",14,"22302-20170214155712_v51.8"
-5,"8102",6,"15402-20170214155712_v51.8"
83,"5820",31,"15302-20170214155712_v51.8"
-232,"8117",59,"15301-20170214155712_v51.8"
76,"4755",31,"98203-20170214155712_v51.8"
73,"7605",31,"39001-20170214155712_v51.8"
566,"8060",40,"00710-20170214155712_v51.8"
264,"7457",37,"51501-20170214155712_v51.8"
537,"5908",45,"23302-20170214155712_v51.8"
344,"8063",41,"00709-20170214155712_v51.8"
-147,"5906",36,"22302-20170214155712_v51.8"
235,"5284",45,"11302-20170214155712_v51.8"
129,"5060",15,"15401-20170214155712_v51.8"
96,"3270",15,"84301-20170214155712_v51.8"
569,"1323",59,"75601-20170214155712_v51.8"
-259,"8001",29,"03002-20170214155712_v51.8"
437,"8034",28,"72101-20170214155712_v51.8"
157,"8516",49,"72101-20170214155712_v51.8"
87,"7198",11,"73102-20170214155712_v51.8"
190,"8513",25,"73102-20170214155712_v51.8"
178,"5914",50,"13601-20170214155712_v51.8"
46,"7099",2,"22102-20170214155712_v51.8"
87,"4666",21,"98302-20170214155712_v51.8"
188,"3581",12,"89101-20170214155712_v51.8"
-356,"7049",34,"79902-20170214155712_v51.8"
285,"1069",19,"79801-20170214155712_v51.8"
-92,"7452",37,"62502-20170214155712_v51.8"
-101,"8227",26,"22101-20170214155712_v51.8"
-132,"3873",16,"95501-20170214155712_v51.8"
-351,"3961",33,"97401-20170214155712_v51.8"
108,"3947",12,"97504-20170214155712_v51.8"
103,"3351",17,"91505-20170214155712_v51.8"
-156,"7071",36,"97301-20170214155712_v51.8"
97,"3588",39,"95701-20170214155712_v51.8"
-97,"4084",10,"95502-20170214155712_v51.8"
173,"4140",4,"97301-20170214155712_v51.8"
6,"7203",51,"30901-20170214155712_v51.8"
-229,"2179",39,"36501-20170214155712_v51.8"
-303,"6741",30,"36601-20170214155712_v51.8"
-440,"2716",40,"36502-20170214155712_v51.8"
167,"2263",11,"36201-20170214155712_v51.8"
-29,"6829",10,"36502-20170214155712_v51.8"
-14,"2739",9,"37402-20170214155712_v51.8"
37,"6048",18,"03301-20170214155712_v51.8"
-52,"2254",30,"36102-20170214155712_v51.8"
-257,"2179",37,"36101-20170214155712_v51.8"
-271,"6748",16,"03302-20170214155712_v51.8"
-194,"2473",11,"36202-20170214155712_v51.8"
-86,"6048",1,"36302-20170214155712_v51.8"
264,"3568",1,"90504-20170214155712_v51.8"
-21,"2524",40,"03302-20170214155712_v51.8"
-83,"2727",11,"36501-20170214155712_v51.8"
-307,"2875",13,"39102-20170214155712_v51.8"
-285,"2875",16,"39216-20170214155712_v51.8"
-88,"2929",14,"39302-20170214155712_v51.8"
-83,"7970",47,"03301-20170214155712_v51.8"
2041,"6048",32,"36302-20170214155712_v51.8"
-250,"7071",10,"10003-20170214155712_v51.8"
-17,"5841",31,"09202-20170214155712_v51.8"
-224,"4087",26,"94502-20170214155712_v51.8"
10,"3355",5,"10002-20170214155712_v51.8"
194,"3127",54,"88001-20170214155712_v51.8"
-216,"3568",29,"91103-20170214155712_v51.8"
440,"3076",42,"88602-20170214155712_v51.8"
209,"4229",8,"10004-20170214155712_v51.8"
-14,"4214",15,"88706-20170214155712_v51.8"
4,"3822",8,"90503-20170214155712_v51.8"
158,"3135",30,"88002-20170214155712_v51.8"
76,"2583",3,"37101-20170214155712_v51.8"
-136,"6979",27,"36602-20170214155712_v51.8"
96,"2640",4,"37701-20170214155712_v51.8"
-257,"2582",12,"37301-20170214155712_v51.8"
595,"5854",36,"08004-20170214155712_v51.8"
-257,"3568",21,"80305-20170214155712_v51.8"
-209,"4065",5,"10001-20170214155712_v51.8"
204,"3565",30,"88705-20170214155712_v51.8"
-166,"4226",2,"10003-20170214155712_v51.8"
-482,"5626",52,"09203-20170214155712_v51.8"
60,"8348",33,"19502-20170214155712_v51.8"
-378,"8131",40,"19501-20170214155712_v51.8"
222,"8806",45,"00803-20170214155712_v51.8"
153,"6823",23,"55001-20170214155712_v51.8"
-549,"7147",57,"55001-20170214155712_v51.8"
53,"6090",14,"55206-20170214155712_v51.8"
101,"6164",12,"55211-20170214155712_v51.8"
86,"1761",43,"55211-20170214155712_v51.8"
-52,"2127",21,"35302-20170214155712_v51.8"
-143,"2138",15,"35301-20170214155712_v51.8"
516,"6142",44,"50002-20170214155712_v51.8"
-126,"7144",3,"55006-20170214155712_v51.8"
193,"7517",41,"50001-20170214155712_v51.8"
9,"7528",33,"55006-20170214155712_v51.8"
162,"7612",18,"50002-20170214155712_v51.8"
521,"6285",62,"55006-20170214155712_v51.8"
116,"6962",9,"50001-20170214155712_v51.8"
900,"8502",7,"30002-20170214155712_v51.8"
-180,"8407",5,"30005-20170214155712_v51.8"
99,"7168",6,"30006-20170214155712_v51.8"
17,"2008",21,"38011-20170214155712_v51.8"
-207,"2401",24,"38012-20170214155712_v51.8"
3000,"8589",1,"38012-20170214155712_v51.8"
140,"6524",36,"38012-20170214155712_v51.8"
-363,"6687",44,"38011-20170214155712_v51.8"
227,"6421",17,"03201-20170214155712_v51.8"
545,"2258",22,"31301-20170214155712_v51.8"
59,"6430",30,"03102-20170214155712_v51.8"
-369,"6480",13,"31302-20170214155712_v51.8"
-201,"2496",12,"03202-20170214155712_v51.8"
109,"6718",16,"30901-20170214155712_v51.8"
-162,"7970",38,"32502-20170214155712_v51.8"
894,"6568",23,"32501-20170214155712_v51.8"
141,"6306",8,"32502-20170214155712_v51.8"
-354,"6955",58,"30902-20170214155712_v51.8"
-72,"8756",19,"30902-20170214155712_v51.8"
20,"2282",16,"03101-20170214155712_v51.8"
35,"6697",40,"31302-20170214155712_v51.8"
-15,"6512",11,"32501-20170214155712_v51.8"
283,"1203",20,"00202-20170214155712_v51.8"
138,"1166",20,"00104-20170214155712_v51.8"
