"delay","stop.id","stop.sequence","route"
41,"3158",34,"83902-20170214155712_v51.8"
-325,"1536",23,"32101-20170214155712_v51.8"
146,"8703",18,"30201-20170214155712_v51.8"
239,"7151",41,"39001-20170214155712_v51.8"
73,"8419",28,"01101-20170214155712_v51.8"
287,"7203",36,"31201-20170214155712_v51.8"
463,"8434",24,"26702-20170214155712_v51.8"
227,"8382",6,"31201-20170214155712_v51.8"
-250,"8165",37,"39002-20170214155712_v51.8"
-206,"6573",3,"32101-20170214155712_v51.8"
161,"8430",22,"25502-20170214155712_v51.8"
54,"7058",27,"25501-20170214155712_v51.8"
423,"8308",17,"24902-20170214155712_v51.8"
494,"8411",30,"25801-20170214155712_v51.8"
348,"8452",5,"23301-20170214155712_v51.8"
252,"8606",9,"29902-20170214155712_v51.8"
-64,"1090",54,"24901-20170214155712_v51.8"
144,"8319",33,"24901-20170214155712_v51.8"
55,"8415",30,"26701-20170214155712_v51.8"
172,"7055",45,"29901-20170214155712_v51.8"
-73,"4729",19,"98301-20170214155712_v51.8"
114,"3098",5,"87501-20170214155712_v51.8"
-52,"8889",28,"03003-20170214155712_v51.8"
-86,"4789",32,"98401-20170214155712_v51.8"
15,"5908",1,"24901-20170214155712_v51.8"
31,"1323",81,"75703-20170214155712_v51.8"
-309,"7284",45,"32101-20170214155712_v51.8"
81,"7771",9,"60601-20170214155712_v51.8"
271,"7842",19,"74501-20170214155712_v51.8"
131,"8700",9,"30202-20170214155712_v51.8"
280,"7620",27,"32102-20170214155712_v51.8"
-254,"7151",37,"23301-20170214155712_v51.8"
59,"7148",6,"23302-20170214155712_v51.8"
292,"8418",16,"25802-20170214155712_v51.8"
-20,"7149",24,"25501-20170214155712_v51.8"
34,"8535",2,"63501-20170214155712_v51.8"
316,"8647",21,"29901-20170214155712_v51.8"
-536,"8387",33,"31202-20170214155712_v51.8"
199,"7037",65,"83901-20170214155712_v51.8"
104,"5454",36,"15302-20170214155712_v51.8"
-31,"7549",7,"59501-20170214155712_v51.8"
516,"8320",25,"23302-20170214155712_v51.8"
276,"7422",53,"00708-20170214155712_v51.8"
151,"7945",41,"75704-20170214155712_v51.8"
533,"8819",61,"00707-20170214155712_v51.8"
22,"7507",13,"50501-20170214155712_v51.8"
-505,"8113",61,"15301-20170214155712_v51.8"
