"delay","stop.id","stop.sequence","route"
28,"5910",1,"17202-20170214155712_v51.8"
934,"7170",4,"39002-20170214155712_v51.8"
-550,"8532",22,"27402-20170214155712_v51.8"
432,"8718",15,"30202-20170214155712_v51.8"
-10,"7156",5,"51502-20170214155712_v51.8"
608,"7230",7,"32102-20170214155712_v51.8"
809,"8866",17,"22102-20170214155712_v51.8"
140,"7239",70,"71902-20170214155712_v51.8"
-167,"7423",33,"00705-20170214155712_v51.8"
70,"7331",37,"76901-20170214155712_v51.8"
656,"8007",25,"03006-20170214155712_v51.8"
26,"7268",9,"02002-20170214155712_v51.8"
1228,"8924",30,"24802-20170214155712_v51.8"
386,"8034",27,"01002-20170214155712_v51.8"
523,"8480",46,"59501-20170214155712_v51.8"
-300,"7813",36,"52504-20170214155712_v51.8"
-66,"7049",29,"02001-20170214155712_v51.8"
-242,"7260",17,"02001-20170214155712_v51.8"
-95,"7170",4,"30202-20170214155712_v51.8"
287,"8245",5,"31006-20170214155712_v51.8"
278,"7140",2,"27402-20170214155712_v51.8"
67,"8676",40,"29902-20170214155712_v51.8"
15,"8581",1,"30201-20170214155712_v51.8"
134,"8690",42,"26702-20170214155712_v51.8"
382,"8450",29,"26704-20170214155712_v51.8"
-146,"8532",22,"27402-20170214155712_v51.8"
-205,"8532",22,"27402-20170214155712_v51.8"
-109,"8508",11,"27702-20170214155712_v51.8"
651,"8601",37,"29901-20170214155712_v51.8"
-2,"7110",7,"00502-20170214155712_v51.8"
297,"7158",5,"27402-20170214155712_v51.8"
495,"7709",18,"31201-20170214155712_v51.8"
262,"8658",28,"29902-20170214155712_v51.8"
-257,"8387",33,"31202-20170214155712_v51.8"
167,"5087",36,"04902-20170214155712_v51.8"
77,"8419",26,"25801-20170214155712_v51.8"
43,"7164",3,"30202-20170214155712_v51.8"
33,"8446",30,"26702-20170214155712_v51.8"
271,"7029",41,"25802-20170214155712_v51.8"
1430,"7826",68,"00706-20170214155712_v51.8"
418,"8501",38,"25801-20170214155712_v51.8"
545,"7014",4,"23302-20170214155712_v51.8"
-363,"4710",51,"98204-20170214155712_v51.8"
386,"3039",20,"76004-20170214155712_v51.8"
187,"4625",15,"98203-20170214155712_v51.8"
