"delay","stop.id","stop.sequence","route"
19,"5820",3,"14902-20170214155712_v51.8"
1731,"3122",47,"87502-20170214155712_v51.8"
-578,"7085",66,"08701-20170214155712_v51.8"
1391,"7201",2,"89104-20170214155712_v51.8"
-3,"7055",1,"30202-20170214155712_v51.8"
513,"8417",29,"26701-20170214155712_v51.8"
526,"1406",15,"24304-20170214155712_v51.8"
32,"7207",20,"30201-20170214155712_v51.8"
-401,"8589",41,"31202-20170214155712_v51.8"
107,"7525",63,"71902-20170214155712_v51.8"
468,"5328",10,"14501-20170214155712_v51.8"
-414,"7995",34,"39002-20170214155712_v51.8"
355,"5015",18,"17202-20170214155712_v51.8"
-347,"7147",35,"62501-20170214155712_v51.8"
954,"8032",20,"00706-20170214155712_v51.8"
-350,"1408",35,"63502-20170214155712_v51.8"
1,"8559",13,"74501-20170214155712_v51.8"
462,"7326",14,"75602-20170214155712_v51.8"
-191,"8491",28,"02002-20170214155712_v51.8"
390,"8267",28,"24901-20170214155712_v51.8"
372,"8500",5,"25502-20170214155712_v51.8"
390,"7203",36,"31201-20170214155712_v51.8"
382,"8839",16,"01001-20170214155712_v51.8"
174,"1403",40,"76701-20170214155712_v51.8"
-157,"8003",27,"03006-20170214155712_v51.8"
133,"7501",39,"59501-20170214155712_v51.8"
435,"7231",48,"53205-20170214155712_v51.8"
-466,"7594",44,"65502-20170214155712_v51.8"
873,"7089",42,"25801-20170214155712_v51.8"
-497,"8589",26,"30202-20170214155712_v51.8"
1012,"8912",31,"25804-20170214155712_v51.8"
128,"8419",26,"25801-20170214155712_v51.8"
-103,"8526",19,"27402-20170214155712_v51.8"
158,"8508",11,"27702-20170214155712_v51.8"
131,"8645",22,"29901-20170214155712_v51.8"
-248,"7059",44,"39001-20170214155712_v51.8"
-841,"8676",40,"29902-20170214155712_v51.8"
-60,"7099",2,"24602-20170214155712_v51.8"
182,"7176",5,"29902-20170214155712_v51.8"
230,"8646",22,"29902-20170214155712_v51.8"
425,"7089",44,"26701-20170214155712_v51.8"
-78,"7201",34,"32201-20170214155712_v51.8"
-3,"7015",1,"02004-20170214155712_v51.8"
35,"7104",4,"00502-20170214155712_v51.8"
120,"7022",3,"24802-20170214155712_v51.8"
324,"8908",36,"25802-20170214155712_v51.8"
-189,"8244",24,"39001-20170214155712_v51.8"
438,"5538",47,"11502-20170214155712_v51.8"
3000,"7105",44,"23301-20170214155712_v51.8"
224,"8716",14,"30202-20170214155712_v51.8"
103,"7022",3,"24804-20170214155712_v51.8"
-115,"8069",38,"00705-20170214155712_v51.8"
292,"7146",3,"27402-20170214155712_v51.8"
82,"7064",2,"29902-20170214155712_v51.8"
153,"4641",20,"98301-20170214155712_v51.8"
195,"7170",4,"39002-20170214155712_v51.8"
1092,"7818",67,"00706-20170214155712_v51.8"
340,"7159",5,"62502-20170214155712_v51.8"
1035,"7203",50,"59501-20170214155712_v51.8"
-47,"7202",39,"77101-20170214155712_v51.8"
1161,"8031",30,"01001-20170214155712_v51.8"
178,"1338",49,"32101-20170214155712_v51.8"
76,"3465",7,"81301-20170214155712_v51.8"
-279,"5084",33,"04902-20170214155712_v51.8"
-673,"8522",17,"27402-20170214155712_v51.8"
-57,"7216",16,"02001-20170214155712_v51.8"
577,"7634",35,"32102-20170214155712_v51.8"
-216,"8053",32,"00701-20170214155712_v51.8"
-301,"7202",18,"88103-20170214155712_v51.8"
166,"3098",5,"87501-20170214155712_v51.8"
170,"7139",25,"26700-20170214155712_v51.8"
-266,"5908",44,"23304-20170214155712_v51.8"
-1,"3568",10,"87902-20170214155712_v51.8"
-111,"7091",9,"82001-20170214155712_v51.8"
69,"5368",12,"04901-20170214155712_v51.8"
-299,"7147",48,"22201-20170214155712_v51.8"
