"delay","stop.id","stop.sequence","route"
248,"5784",18,"09701-20170214155712_v51.8"
753,"1411",32,"09951-20170214155712_v51.8"
125,"3098",5,"87501-20170214155712_v51.8"
-228,"8309",9,"24601-20170214155712_v51.8"
231,"5753",12,"13503-20170214155712_v51.8"
316,"5860",21,"14901-20170214155712_v51.8"
-160,"8301",11,"24001-20170214155712_v51.8"
77,"8799",25,"71901-20170214155712_v51.8"
553,"3225",12,"05453-20170214155712_v51.8"
-7,"8519",8,"27401-20170214155712_v51.8"
58,"7862",5,"71505-20170214155712_v51.8"
235,"7630",28,"32202-20170214155712_v51.8"
-112,"7089",11,"26707-20170214155712_v51.8"
-203,"7175",25,"30201-20170214155712_v51.8"
-14,"7223",5,"01002-20170214155712_v51.8"
-106,"7171",26,"30201-20170214155712_v51.8"
280,"1407",15,"25803-20170214155712_v51.8"
437,"1028",6,"32202-20170214155712_v51.8"
272,"7064",2,"30202-20170214155712_v51.8"
-152,"8309",9,"24601-20170214155712_v51.8"
113,"5216",6,"17004-20170214155712_v51.8"
337,"7105",26,"24601-20170214155712_v51.8"
440,"7848",14,"77003-20170214155712_v51.8"
43,"5419",16,"14501-20170214155712_v51.8"
-151,"7003",38,"74501-20170214155712_v51.8"
384,"8090",20,"02002-20170214155712_v51.8"
973,"7769",45,"02157-20170214155712_v51.8"
62,"8010",6,"00501-20170214155712_v51.8"
124,"7549",51,"71902-20170214155712_v51.8"
1311,"8700",30,"01457-20170214155712_v51.8"
65,"7175",39,"31201-20170214155712_v51.8"
-313,"7089",43,"24805-20170214155712_v51.8"
524,"8309",37,"24909-20170214155712_v51.8"
761,"8879",64,"00705-20170214155712_v51.8"
1133,"7966",36,"00753-20170214155712_v51.8"
-451,"1323",81,"75703-20170214155712_v51.8"
1341,"8700",28,"01757-20170214155712_v51.8"
74,"8738",3,"01001-20170214155712_v51.8"
414,"7121",14,"00501-20170214155712_v51.8"
584,"7417",8,"01053-20170214155712_v51.8"
572,"8495",11,"09551-20170214155712_v51.8"
545,"8431",22,"26709-20170214155712_v51.8"
141,"8307",31,"24805-20170214155712_v51.8"
224,"8407",1,"26707-20170214155712_v51.8"
768,"8419",26,"25801-20170214155712_v51.8"
526,"8274",9,"23301-20170214155712_v51.8"
-8,"5908",58,"24902-20170214155712_v51.8"
442,"8711",29,"31201-20170214155712_v51.8"
918,"8607",34,"09951-20170214155712_v51.8"
-52,"8200",9,"24902-20170214155712_v51.8"
450,"8787",13,"00751-20170214155712_v51.8"
131,"8419",10,"25501-20170214155712_v51.8"
825,"8274",9,"24305-20170214155712_v51.8"
380,"8265",21,"24803-20170214155712_v51.8"
273,"8427",6,"25501-20170214155712_v51.8"
12,"7057",26,"26709-20170214155712_v51.8"
1501,"8617",39,"09951-20170214155712_v51.8"
563,"7089",43,"24805-20170214155712_v51.8"
-262,"7003",47,"76801-20170214155712_v51.8"
-108,"7015",23,"02003-20170214155712_v51.8"
176,"7976",54,"75703-20170214155712_v51.8"
-554,"7227",33,"62501-20170214155712_v51.8"
477,"3217",29,"05251-20170214155712_v51.8"
1078,"3205",35,"03155-20170214155712_v51.8"
1195,"3127",31,"03351-20170214155712_v51.8"
32,"7055",1,"29902-20170214155712_v51.8"
790,"8064",12,"03051-20170214155712_v51.8"
-325,"7024",23,"27401-20170214155712_v51.8"
46,"8887",7,"29901-20170214155712_v51.8"
321,"8639",24,"29901-20170214155712_v51.8"
700,"8241",9,"22301-20170214155712_v51.8"
-93,"5221",10,"17201-20170214155712_v51.8"
754,"8594",17,"25809-20170214155712_v51.8"
678,"7174",4,"60502-20170214155712_v51.8"
109,"8030",18,"00706-20170214155712_v51.8"
-142,"7151",27,"30201-20170214155712_v51.8"
467,"8299",38,"23302-20170214155712_v51.8"
133,"8738",3,"30201-20170214155712_v51.8"
690,"8813",14,"24301-20170214155712_v51.8"
3,"8581",42,"39002-20170214155712_v51.8"
84,"8644",21,"29902-20170214155712_v51.8"
854,"1765",47,"00702-20170214155712_v51.8"
130,"8589",26,"30202-20170214155712_v51.8"
209,"4501",4,"98204-20170214155712_v51.8"
73,"3564",55,"85801-20170214155712_v51.8"
273,"3215",21,"87303-20170214155712_v51.8"
-327,"7038",27,"86003-20170214155712_v51.8"
274,"8729",7,"30201-20170214155712_v51.8"
98,"8454",6,"24301-20170214155712_v51.8"
108,"7549",7,"59501-20170214155712_v51.8"
-81,"1097",29,"32101-20170214155712_v51.8"
28,"7504",1,"01953-20170214155712_v51.8"
922,"7020",33,"52005-20170214155712_v51.8"
9,"7425",23,"65501-20170214155712_v51.8"
71,"7401",29,"62501-20170214155712_v51.8"
23,"1420",1,"59502-20170214155712_v51.8"
107,"1737",7,"32201-20170214155712_v51.8"
1269,"8434",24,"26702-20170214155712_v51.8"
233,"8713",14,"30201-20170214155712_v51.8"
150,"3122",14,"83909-20170214155712_v51.8"
118,"8691",4,"26709-20170214155712_v51.8"
534,"8537",16,"22101-20170214155712_v51.8"
655,"7146",5,"23302-20170214155712_v51.8"
276,"8404",9,"25802-20170214155712_v51.8"
172,"8388",9,"31201-20170214155712_v51.8"
31,"7471",31,"59501-20170214155712_v51.8"
-32,"7215",16,"02003-20170214155712_v51.8"
-146,"8501",22,"25501-20170214155712_v51.8"
18,"7089",39,"25803-20170214155712_v51.8"
-286,"7004",8,"88103-20170214155712_v51.8"
1,"8505",15,"27401-20170214155712_v51.8"
140,"8286",13,"24803-20170214155712_v51.8"
210,"7430",5,"07453-20170214155712_v51.8"
260,"3342",15,"02353-20170214155712_v51.8"
37,"3081",11,"88201-20170214155712_v51.8"
-572,"3246",11,"87301-20170214155712_v51.8"
166,"3036",12,"76003-20170214155712_v51.8"
708,"7813",68,"71902-20170214155712_v51.8"
-77,"8615",42,"32101-20170214155712_v51.8"
-5,"7171",40,"39001-20170214155712_v51.8"
-21,"5082",7,"12101-20170214155712_v51.8"
17,"8427",24,"26703-20170214155712_v51.8"
-186,"7401",35,"65501-20170214155712_v51.8"
-505,"7055",31,"30201-20170214155712_v51.8"
-666,"7145",21,"27401-20170214155712_v51.8"
704,"8274",17,"24003-20170214155712_v51.8"
77,"8663",14,"29901-20170214155712_v51.8"
551,"8315",27,"24803-20170214155712_v51.8"
286,"7303",8,"50007-20170214155712_v51.8"
171,"7105",41,"24301-20170214155712_v51.8"
-400,"8103",61,"11301-20170214155712_v51.8"
141,"5029",30,"15011-20170214155712_v51.8"
58,"8114",12,"11302-20170214155712_v51.8"
213,"8207",42,"22201-20170214155712_v51.8"
153,"5085",9,"04801-20170214155712_v51.8"
-334,"7081",45,"15011-20170214155712_v51.8"
147,"8145",49,"13501-20170214155712_v51.8"
666,"7209",20,"22301-20170214155712_v51.8"
-486,"7133",70,"15401-20170214155712_v51.8"
-162,"7086",47,"22401-20170214155712_v51.8"
70,"5843",24,"14902-20170214155712_v51.8"
-360,"7087",73,"13501-20170214155712_v51.8"
106,"5851",3,"22401-20170214155712_v51.8"
-43,"7084",3,"13502-20170214155712_v51.8"
222,"3274",5,"02753-20170214155712_v51.8"
491,"3185",10,"07153-20170214155712_v51.8"
282,"7704",2,"07151-20170214155712_v51.8"
-522,"8501",40,"26701-20170214155712_v51.8"
138,"7146",3,"27702-20170214155712_v51.8"
-6,"7089",26,"25501-20170214155712_v51.8"
-726,"7024",23,"27401-20170214155712_v51.8"
-288,"8501",7,"26707-20170214155712_v51.8"
25,"8445",15,"26701-20170214155712_v51.8"
-258,"1090",25,"24601-20170214155712_v51.8"
326,"8419",10,"25501-20170214155712_v51.8"
-207,"7151",19,"24601-20170214155712_v51.8"
191,"8533",17,"27701-20170214155712_v51.8"
-318,"8503",16,"27401-20170214155712_v51.8"
-216,"7149",20,"24601-20170214155712_v51.8"
21,"8325",1,"24601-20170214155712_v51.8"
-118,"8519",8,"27401-20170214155712_v51.8"
-447,"7081",28,"11011-20170214155712_v51.8"
-224,"7014",4,"22302-20170214155712_v51.8"
468,"8149",19,"22401-20170214155712_v51.8"
939,"5029",28,"15303-20170214155712_v51.8"
588,"8233",31,"22201-20170214155712_v51.8"
406,"8145",6,"13505-20170214155712_v51.8"
313,"7151",38,"22101-20170214155712_v51.8"
61,"8149",47,"15401-20170214155712_v51.8"
216,"8213",37,"20911-20170214155712_v51.8"
141,"8211",5,"22001-20170214155712_v51.8"
-324,"7105",53,"22201-20170214155712_v51.8"
-25,"7151",23,"25501-20170214155712_v51.8"
0,"8519",8,"27401-20170214155712_v51.8"
60,"8597",13,"25803-20170214155712_v51.8"
-26,"8509",13,"27401-20170214155712_v51.8"
117,"8293",7,"24003-20170214155712_v51.8"
-93,"7147",43,"26701-20170214155712_v51.8"
468,"7105",26,"24601-20170214155712_v51.8"
-398,"7175",39,"29901-20170214155712_v51.8"
631,"8123",19,"01055-20170214155712_v51.8"
464,"8425",25,"26701-20170214155712_v51.8"
-111,"8669",7,"27701-20170214155712_v51.8"
347,"7089",26,"25501-20170214155712_v51.8"
424,"8052",36,"00702-20170214155712_v51.8"
-408,"8201",18,"24601-20170214155712_v51.8"
386,"8435",2,"25501-20170214155712_v51.8"
83,"7612",15,"39002-20170214155712_v51.8"
101,"7160",3,"26702-20170214155712_v51.8"
-487,"8479",23,"31202-20170214155712_v51.8"
453,"8266",27,"24902-20170214155712_v51.8"
-24,"8607",34,"29901-20170214155712_v51.8"
-516,"7147",20,"27401-20170214155712_v51.8"
-480,"4065",30,"76003-20170214155712_v51.8"
-809,"7091",34,"76003-20170214155712_v51.8"
451,"3320",17,"01455-20170214155712_v51.8"
-224,"7038",35,"85003-20170214155712_v51.8"
-39,"4065",23,"99101-20170214155712_v51.8"
-385,"7037",49,"87501-20170214155712_v51.8"
-696,"1079",25,"86003-20170214155712_v51.8"
-381,"3147",21,"85003-20170214155712_v51.8"
-473,"3360",29,"85003-20170214155712_v51.8"
23,"3219",3,"88103-20170214155712_v51.8"
-534,"3219",20,"86003-20170214155712_v51.8"
620,"3363",16,"01857-20170214155712_v51.8"
-345,"7091",27,"86303-20170214155712_v51.8"
31,"7758",1,"60501-20170214155712_v51.8"
175,"3313",5,"05351-20170214155712_v51.8"
695,"3189",23,"87501-20170214155712_v51.8"
559,"7528",24,"75703-20170214155712_v51.8"
172,"7618",5,"50501-20170214155712_v51.8"
473,"7180",20,"02351-20170214155712_v51.8"
440,"7664",14,"70302-20170214155712_v51.8"
1218,"7776",33,"03151-20170214155712_v51.8"
-51,"7794",34,"50502-20170214155712_v51.8"
194,"7180",8,"53206-20170214155712_v51.8"
-366,"7141",37,"52501-20170214155712_v51.8"
163,"7199",34,"63501-20170214155712_v51.8"
-154,"7230",15,"88103-20170214155712_v51.8"
131,"4606",20,"98802-20170214155712_v51.8"
862,"3764",32,"04551-20170214155712_v51.8"
905,"3135",19,"04155-20170214155712_v51.8"
260,"4789",18,"99101-20170214155712_v51.8"
409,"3255",16,"86303-20170214155712_v51.8"
383,"3326",10,"02857-20170214155712_v51.8"
11,"4222",24,"87003-20170214155712_v51.8"
56,"3467",6,"81301-20170214155712_v51.8"
645,"7676",12,"00953-20170214155712_v51.8"
71,"4512",20,"87003-20170214155712_v51.8"
426,"3127",29,"87901-20170214155712_v51.8"
86,"4065",5,"88103-20170214155712_v51.8"
-319,"1079",30,"87003-20170214155712_v51.8"
-231,"3137",11,"86003-20170214155712_v51.8"
557,"3127",25,"76003-20170214155712_v51.8"
451,"8819",26,"01001-20170214155712_v51.8"
33,"7061",12,"79702-20170214155712_v51.8"
105,"7004",4,"79702-20170214155712_v51.8"
81,"1325",17,"79702-20170214155712_v51.8"
-144,"7054",8,"79702-20170214155712_v51.8"
-244,"1325",17,"79702-20170214155712_v51.8"
-75,"1067",2,"79702-20170214155712_v51.8"
284,"7245",11,"77004-20170214155712_v51.8"
-270,"1323",22,"76703-20170214155712_v51.8"
34,"1775",4,"32101-20170214155712_v51.8"
819,"1506",12,"02851-20170214155712_v51.8"
425,"7413",16,"60501-20170214155712_v51.8"
134,"7999",36,"73102-20170214155712_v51.8"
1718,"7121",59,"73102-20170214155712_v51.8"
466,"7120",11,"72101-20170214155712_v51.8"
100,"7185",35,"72107-20170214155712_v51.8"
-2,"7202",13,"73102-20170214155712_v51.8"
30,"7107",31,"73106-20170214155712_v51.8"
72,"1096",4,"73102-20170214155712_v51.8"
224,"8059",22,"73102-20170214155712_v51.8"
107,"7006",1,"72101-20170214155712_v51.8"
19,"7203",60,"72101-20170214155712_v51.8"
166,"7016",1,"79801-20170214155712_v51.8"
-65,"7222",26,"79902-20170214155712_v51.8"
-187,"7177",15,"79902-20170214155712_v51.8"
204,"7193",29,"79801-20170214155712_v51.8"
31,"7183",25,"79807-20170214155712_v51.8"
345,"7196",9,"79902-20170214155712_v51.8"
372,"7211",16,"79801-20170214155712_v51.8"
-344,"7134",20,"79902-20170214155712_v51.8"
-565,"7223",10,"79801-20170214155712_v51.8"
33,"7217",13,"79801-20170214155712_v51.8"
184,"8033",48,"00701-20170214155712_v51.8"
38,"7821",41,"64502-20170214155712_v51.8"
251,"7521",4,"06157-20170214155712_v51.8"
86,"7711",18,"63501-20170214155712_v51.8"
1143,"8703",13,"02951-20170214155712_v51.8"
-96,"1530",26,"68501-20170214155712_v51.8"
216,"7525",59,"75704-20170214155712_v51.8"
114,"1076",30,"00701-20170214155712_v51.8"
700,"1028",6,"62504-20170214155712_v51.8"
278,"7417",21,"62501-20170214155712_v51.8"
43,"7344",1,"76901-20170214155712_v51.8"
-140,"7305",40,"71501-20170214155712_v51.8"
437,"7147",56,"59501-20170214155712_v51.8"
43,"7378",19,"76901-20170214155712_v51.8"
476,"7560",34,"75703-20170214155712_v51.8"
2789,"7344",1,"77001-20170214155712_v51.8"
364,"7326",14,"75704-20170214155712_v51.8"
145,"7587",6,"68501-20170214155712_v51.8"
284,"7183",44,"65501-20170214155712_v51.8"
-33,"7842",38,"74503-20170214155712_v51.8"
268,"1018",2,"71902-20170214155712_v51.8"
235,"7105",22,"00501-20170214155712_v51.8"
-109,"7084",4,"02002-20170214155712_v51.8"
-52,"7149",34,"62501-20170214155712_v51.8"
96,"8018",10,"03001-20170214155712_v51.8"
-281,"7177",35,"32201-20170214155712_v51.8"
339,"7511",28,"52005-20170214155712_v51.8"
705,"8858",31,"32102-20170214155712_v51.8"
251,"7601",47,"59501-20170214155712_v51.8"
-263,"7055",31,"60501-20170214155712_v51.8"
342,"7806",5,"75703-20170214155712_v51.8"
362,"8068",45,"00706-20170214155712_v51.8"
107,"8899",7,"02001-20170214155712_v51.8"
163,"8826",35,"01002-20170214155712_v51.8"
-115,"7427",16,"62501-20170214155712_v51.8"
0,"7085",25,"02001-20170214155712_v51.8"
5,"7818",1,"74501-20170214155712_v51.8"
1213,"7442",60,"00706-20170214155712_v51.8"
-1007,"7141",22,"27401-20170214155712_v51.8"
58,"8284",19,"24909-20170214155712_v51.8"
475,"3551",57,"87901-20170214155712_v51.8"
924,"3361",29,"05353-20170214155712_v51.8"
223,"4065",5,"96201-20170214155712_v51.8"
-714,"7146",32,"89103-20170214155712_v51.8"
86,"4501",4,"98108-20170214155712_v51.8"
144,"4630",46,"98302-20170214155712_v51.8"
549,"3235",29,"85801-20170214155712_v51.8"
-1,"3360",19,"87403-20170214155712_v51.8"
19,"3860",15,"89102-20170214155712_v51.8"
-395,"3363",28,"89101-20170214155712_v51.8"
-37,"7091",24,"87403-20170214155712_v51.8"
398,"7217",9,"96201-20170214155712_v51.8"
303,"3304",13,"85802-20170214155712_v51.8"
-35,"3120",26,"83901-20170214155712_v51.8"
-202,"4087",32,"84301-20170214155712_v51.8"
122,"3711",17,"89103-20170214155712_v51.8"
40,"3107",1,"86003-20170214155712_v51.8"
131,"4797",4,"98105-20170214155712_v51.8"
831,"1753",29,"06456-20170214155712_v51.8"
232,"3863",27,"91303-20170214155712_v51.8"
-58,"7038",69,"83901-20170214155712_v51.8"
32,"4740",11,"98205-20170214155712_v51.8"
-48,"4573",5,"98501-20170214155712_v51.8"
55,"4826",4,"98601-20170214155712_v51.8"
98,"3565",6,"89101-20170214155712_v51.8"
297,"3137",5,"01653-20170214155712_v51.8"
256,"7105",28,"22303-20170214155712_v51.8"
-753,"7083",18,"04011-20170214155712_v51.8"
220,"7086",32,"22301-20170214155712_v51.8"
-281,"5874",45,"22402-20170214155712_v51.8"
430,"8137",40,"19511-20170214155712_v51.8"
39,"8861",1,"22001-20170214155712_v51.8"
16,"5841",1,"04901-20170214155712_v51.8"
563,"5801",55,"15601-20170214155712_v51.8"
-328,"5702",30,"13011-20170214155712_v51.8"
-490,"7083",29,"13505-20170214155712_v51.8"
354,"5526",5,"11503-20170214155712_v51.8"
-62,"1090",52,"22201-20170214155712_v51.8"
163,"8217",20,"22303-20170214155712_v51.8"
36,"8866",17,"22402-20170214155712_v51.8"
-85,"5913",17,"04011-20170214155712_v51.8"
394,"5280",35,"11306-20170214155712_v51.8"
301,"5088",24,"04902-20170214155712_v51.8"
231,"5281",20,"11301-20170214155712_v51.8"
5,"5429",1,"17203-20170214155712_v51.8"
50,"5516",10,"15301-20170214155712_v51.8"
-150,"8536",33,"22202-20170214155712_v51.8"
-556,"8131",44,"08501-20170214155712_v51.8"
225,"5070",18,"04901-20170214155712_v51.8"
24,"5777",40,"08702-20170214155712_v51.8"
-217,"5400",69,"13502-20170214155712_v51.8"
-16,"7105",45,"22101-20170214155712_v51.8"
141,"1090",16,"22001-20170214155712_v51.8"
143,"8127",54,"15301-20170214155712_v51.8"
-424,"1079",27,"95201-20170214155712_v51.8"
-249,"3564",16,"82201-20170214155712_v51.8"
29,"3076",1,"87003-20170214155712_v51.8"
619,"7037",65,"83901-20170214155712_v51.8"
344,"3248",10,"05157-20170214155712_v51.8"
40,"3214",27,"87502-20170214155712_v51.8"
202,"7762",9,"77102-20170214155712_v51.8"
544,"8145",42,"11301-20170214155712_v51.8"
636,"7699",5,"30201-20170214155712_v51.8"
1648,"7407",51,"01551-20170214155712_v51.8"
529,"8709",16,"30201-20170214155712_v51.8"
