"delay","stop.id","stop.sequence","route"
-818,"7177",35,"32201-20170214155712_v51.8"
271,"8931",10,"23301-20170214155712_v51.8"
474,"7151",41,"29901-20170214155712_v51.8"
264,"8407",34,"26701-20170214155712_v51.8"
-6,"7922",17,"75703-20170214155712_v51.8"
-48,"7641",11,"32101-20170214155712_v51.8"
37,"7616",19,"59502-20170214155712_v51.8"
125,"8860",6,"00705-20170214155712_v51.8"
-394,"7590",42,"65502-20170214155712_v51.8"
0,"7087",29,"03001-20170214155712_v51.8"
55,"7168",4,"26702-20170214155712_v51.8"
340,"8602",7,"29902-20170214155712_v51.8"
-211,"7099",23,"00501-20170214155712_v51.8"
-77,"7910",48,"53206-20170214155712_v51.8"
10,"8671",6,"27701-20170214155712_v51.8"
37,"8532",22,"27702-20170214155712_v51.8"
21,"7180",6,"31202-20170214155712_v51.8"
105,"8307",32,"24801-20170214155712_v51.8"
-789,"7055",31,"30201-20170214155712_v51.8"
-6,"7166",8,"24302-20170214155712_v51.8"
-148,"7089",37,"24301-20170214155712_v51.8"
419,"8470",15,"31201-20170214155712_v51.8"
413,"8651",19,"29901-20170214155712_v51.8"
240,"3585",9,"89103-20170214155712_v51.8"
-335,"8501",17,"27401-20170214155712_v51.8"
1,"8451",12,"26703-20170214155712_v51.8"
-701,"7227",44,"32101-20170214155712_v51.8"
-16,"7152",4,"32202-20170214155712_v51.8"
317,"3347",52,"87901-20170214155712_v51.8"
-46,"7601",33,"39001-20170214155712_v51.8"
89,"8355",8,"24909-20170214155712_v51.8"
-80,"7151",18,"27401-20170214155712_v51.8"
-420,"8589",26,"30202-20170214155712_v51.8"
185,"3219",3,"88103-20170214155712_v51.8"
34,"3587",3,"89101-20170214155712_v51.8"
-224,"1315",6,"88103-20170214155712_v51.8"
652,"5814",35,"22402-20170214155712_v51.8"
61,"4661",42,"99201-20170214155712_v51.8"
463,"7323",41,"76701-20170214155712_v51.8"
178,"8334",7,"22301-20170214155712_v51.8"
254,"7164",3,"39002-20170214155712_v51.8"
48,"7508",24,"52504-20170214155712_v51.8"
-5,"7156",5,"51502-20170214155712_v51.8"
-121,"5908",43,"24302-20170214155712_v51.8"
99,"5297",12,"14902-20170214155712_v51.8"
141,"5767",19,"13011-20170214155712_v51.8"
96,"5060",15,"15011-20170214155712_v51.8"
398,"5349",10,"09011-20170214155712_v51.8"
103,"5049",20,"15401-20170214155712_v51.8"
97,"5853",4,"22401-20170214155712_v51.8"
321,"8861",19,"22301-20170214155712_v51.8"
69,"5837",28,"13501-20170214155712_v51.8"
-48,"5308",29,"07901-20170214155712_v51.8"
122,"8286",13,"24801-20170214155712_v51.8"
119,"7024",39,"27701-20170214155712_v51.8"
385,"8128",19,"04902-20170214155712_v51.8"
197,"8236",26,"22202-20170214155712_v51.8"
223,"5289",32,"15301-20170214155712_v51.8"
-60,"5458",37,"15302-20170214155712_v51.8"
26,"5394",7,"07901-20170214155712_v51.8"
-980,"5092",43,"08501-20170214155712_v51.8"
-60,"8511",28,"27701-20170214155712_v51.8"
256,"8501",38,"25801-20170214155712_v51.8"
-93,"8417",11,"25501-20170214155712_v51.8"
411,"8420",17,"25802-20170214155712_v51.8"
202,"8921",12,"25801-20170214155712_v51.8"
119,"8451",5,"29901-20170214155712_v51.8"
331,"8927",19,"24801-20170214155712_v51.8"
-251,"4222",52,"99201-20170214155712_v51.8"
