date,location,max_aqi
2019-08-16,queen_street,84
2019-08-17,queen_street,59
2019-08-18,queen_street,25
2019-08-19,queen_street,32
2019-08-20,queen_street,29
2019-08-21,queen_street,66
2019-08-22,queen_street,57
2019-08-23,queen_street,41
2019-08-24,queen_street,37
2019-08-25,queen_street,38
2019-08-26,queen_street,63
2019-08-27,queen_street,56
2019-08-28,queen_street,74
2019-08-29,queen_street,64
2019-08-30,queen_street,68
2019-08-31,queen_street,32
2019-09-01,queen_street,41
2019-09-02,queen_street,44
2019-09-03,queen_street,31
2019-09-04,queen_street,29
2019-09-05,queen_street,40
2019-09-06,queen_street,59
2019-09-07,queen_street,46
2019-09-08,queen_street,52
2019-09-09,queen_street,52
2019-09-10,queen_street,39
2019-09-11,queen_street,46
2019-09-12,queen_street,51
2019-09-13,queen_street,59
2019-09-14,queen_street,35
2019-09-15,queen_street,55
2019-09-16,queen_street,48
2019-09-17,queen_street,63
2019-09-18,queen_street,47
2019-09-19,queen_street,66
2019-09-20,queen_street,46
2019-09-21,queen_street,39
2019-09-22,queen_street,33
2019-09-23,queen_street,52
2019-09-24,queen_street,54
2019-09-25,queen_street,67
2019-09-26,queen_street,52
2019-09-27,queen_street,61
2019-09-28,queen_street,51
2019-09-29,queen_street,44
2019-09-30,queen_street,54
2019-10-01,queen_street,64
2019-10-02,queen_street,48
2019-10-03,queen_street,52
2019-10-04,queen_street,60
2019-10-05,queen_street,48
2019-10-06,queen_street,34
2019-10-07,queen_street,30
2019-10-08,queen_street,65
2019-10-09,queen_street,26
2019-10-10,queen_street,43
2019-10-11,queen_street,85
2019-10-12,queen_street,34
2019-10-13,queen_street,33
2019-10-14,queen_street,30
2019-10-15,queen_street,27
2019-10-16,queen_street,52
2019-10-17,queen_street,64
2019-10-18,queen_street,61
2019-10-19,queen_street,46
2019-10-20,queen_street,33
2019-10-21,queen_street,60
2019-10-22,queen_street,79
2019-10-23,queen_street,256
2019-10-24,queen_street,256
2019-10-25,queen_street,71
2019-10-26,queen_street,52
2019-10-27,queen_street,55
2019-10-28,queen_street,39
2019-10-29,queen_street,62
2019-10-30,queen_street,36
2019-10-31,queen_street,53
2019-11-01,queen_street,54
2019-11-02,queen_street,45
2019-11-03,queen_street,40
2019-11-04,queen_street,36
2019-11-05,queen_street,58
2019-11-06,queen_street,64
2019-11-07,queen_street,51
2019-11-08,queen_street,43
2019-11-09,queen_street,45
2019-11-10,queen_street,42
2019-11-11,queen_street,92
2019-11-12,queen_street,67
2019-11-13,queen_street,55
2019-11-14,queen_street,77
2019-11-15,queen_street,75
2019-11-16,queen_street,61
2019-11-17,queen_street,49
2019-11-18,queen_street,52
2019-11-19,queen_street,54
2019-11-20,queen_street,59
2019-11-21,queen_street,59
2019-11-22,queen_street,41
2019-11-23,queen_street,43
2019-11-24,queen_street,51
2019-11-25,queen_street,46
2019-11-26,queen_street,53
2019-11-27,queen_street,83
2019-11-28,queen_street,63
2019-11-29,queen_street,51
2019-11-30,queen_street,37
2019-12-01,queen_street,38
2019-12-02,queen_street,48
2019-12-03,queen_street,75
2019-12-04,queen_street,67
2019-12-05,queen_street,75
2019-12-06,queen_street,99
2019-12-07,queen_street,92
2019-12-08,queen_street,47
2019-12-09,queen_street,39
2019-12-10,queen_street,37
2019-12-11,queen_street,40
2019-12-12,queen_street,43
2019-12-13,queen_street,54
2019-12-14,queen_street,46
2019-12-15,queen_street,29
2019-12-16,queen_street,35
2019-12-17,queen_street,51
2019-12-18,queen_street,89
2019-12-19,queen_street,62
2019-12-20,queen_street,61
2019-12-21,queen_street,48
2019-12-22,queen_street,29
2019-12-23,queen_street,36
2019-12-24,queen_street,50
2019-12-25,queen_street,50
2019-12-26,queen_street,53
2019-12-27,queen_street,38
2019-12-28,queen_street,38
2019-12-29,queen_street,44
2019-12-30,queen_street,45
2019-12-31,queen_street,44
